project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	rm_validation	rd_validation	comment	refactoring	Tags
chart-js	03735563f44e1ae108f83b9c7ee946f8818c92c3	RENAME_FUNCTION	inLabelRange	xRange	src/elements/element.point.js:636-775	src/elements/element.point.js:383-526			"Complex, pssible FP"		NV
chart-js	182270ef9b1bc9fab1cefc89ce1e94a41f4d754f	RENAME_FUNCTION	lintTask	lintJsTask	gulpfile.js:4847-5433	gulpfile.js:4880-5493	TP	TP		Rename Method lintTask() renamed to lintJsTask() at gulpfile.js|lintTask	
chart-js	1cbba830fdef5ac25f997deb5ae0683db9321a79	MOVE_FUNCTION	parseTime	parseTime	src/scales/scale.time.js:2193-2962	src/helpers/helpers.time.js:1728-2511	FN	TP			MC
chart-js	1cbba830fdef5ac25f997deb5ae0683db9321a79	MOVE_FUNCTION	determineUnit	determineUnit	src/scales/scale.time.js:3188-3685	src/helpers/helpers.time.js:2761-3257	FN	TP			MC
chart-js	1cbba830fdef5ac25f997deb5ae0683db9321a79	MOVE_FUNCTION	determineStepSize	determineStepSize	src/scales/scale.time.js:3961-4767	src/helpers/helpers.time.js:3561-4369	FN	TP			MC
chart-js	1cbba830fdef5ac25f997deb5ae0683db9321a79	MOVE_RENAME_FUNCTION	generateTicks	generateTicksNiceRange	src/scales/scale.time.js:5021-5517	src/helpers/helpers.time.js:937-1442	FN	TP			MC
chart-js	1cbba830fdef5ac25f997deb5ae0683db9321a79	MOVE_RENAME_FUNCTION	time	generateTicks	src/scales/scale.time.js:5746-6508	src/helpers/helpers.time.js:4577-5371	FN	TP			MC
chart-js	1eeffa3d584cdd8d1f54b7455487ae9b13478ebe	EXTRACT_FUNCTION	draw	_autoSkip	src/core/core.scale.js:16531-26059	src/core/core.scale.js:16508-18047	FN	TP			MC
chart-js	2409908027a3762f142a04e7583bd2e88681a867	RENAME_FUNCTION	capIfNecessary	capControlPoint	src/controllers/controller.line.js:8715-8821	src/controllers/controller.line.js:8648-8738	FN	TP	Easy Miss by RM		
chart-js	26c1936dee7dcc2f00b63af9bb04e9af1703e461	MOVE_FUNCTION	extend	extend	src/core/core.helpers.js:283-483	src/helpers/helpers.core.js:7758-7964	FN	TP			MC
chart-js	26c1936dee7dcc2f00b63af9bb04e9af1703e461	MOVE_FUNCTION	inherits	inherits	src/core/core.helpers.js:3723-4345	src/helpers/helpers.core.js:8063-8608	FN	TP			MC
chart-js	2922dc96cfd3c3448538c19c02b349fe939f16eb	EXTRACT_FUNCTION	destroy	destroyDatasetMeta	src/core/core.controller.js:17822-18408	src/core/core.controller.js:17977-18229	TP	FN		Extract Method 1.1.destroyDatasetMeta(datasetIndex) extracted from 1.1.destroy() in  1.1 in file src/core/core.controller.js	
chart-js	2e5df0ff42c9ec542bd7c88de8f88f50a8ad5864	EXTRACT_FUNCTION	beforeInit	createNewLegendAndAttach	src/core/core.legend.js:13882-14219	src/core/core.legend.js:13812-14084	FN	TP			
chart-js	2e5df0ff42c9ec542bd7c88de8f88f50a8ad5864	EXTRACT_FUNCTION	beforeInit	createNewTitleBlockAndAttach	src/core/core.title.js:4715-5055	src/core/core.title.js:4383-4657	FN	TP			
chart-js	312773ba7b7e2acf6cd1273c92017d3c197a992b	MOVE_FUNCTION	notify	notify	src/core/core.helpers.js:30596-30814	src/platforms/platform.dom.js:4935-5181			Parent Moved		
chart-js	312773ba7b7e2acf6cd1273c92017d3c197a992b	MOVE_FUNCTION	removeResizeListener	removeResizeListener	src/core/core.helpers.js:31413-31639	src/platforms/platform.dom.js:5368-5619	FN	TP			MC
chart-js	312773ba7b7e2acf6cd1273c92017d3c197a992b	MOVE_RENAME_FUNCTION	addResizeListener	createResizer	src/core/core.helpers.js:29835-31379	src/platforms/platform.dom.js:3683-4738	FN	TP			MC
chart-js	312773ba7b7e2acf6cd1273c92017d3c197a992b	PARAMETERIZE_VARIABLE	chartEvent	e	"src/core/core.controller.js:17424-17476|(619,7)-(619,59)"	"src/core/core.controller.js:17694-17695|(642,25)-(642,26)"	TP			Parameterize Variable chartEvent to e in 1.2.eventHandler(e) at src/core/core.controller.js|1.2.eventHandler	
chart-js	3187a788e17f79ad69da509748aeb64cdbac48f0	RENAME_FUNCTION	check	hook	test/core.plugin.tests.js:2354-2367	test/core.plugin.tests.js:4782-4795	FN	TP			
chart-js	3187a788e17f79ad69da509748aeb64cdbac48f0	RENAME_FUNCTION	check	hook	test/core.plugin.tests.js:2414-2445	test/core.plugin.tests.js:4223-4261	FN	TP			
chart-js	3187a788e17f79ad69da509748aeb64cdbac48f0	RENAME_FUNCTION	check	hook	test/core.plugin.tests.js:2492-2528	test/core.plugin.tests.js:4816-4854	FN	TP			
chart-js	3187a788e17f79ad69da509748aeb64cdbac48f0	RENAME_FUNCTION	check	hook	test/core.plugin.tests.js:2575-2609	test/core.plugin.tests.js:4935-4971	FN	TP			
chart-js	3187a788e17f79ad69da509748aeb64cdbac48f0	RENAME_FUNCTION	check	hook	test/core.plugin.tests.js:2815-2828	test/core.plugin.tests.js:6369-6382	FN	TP			
chart-js	3187a788e17f79ad69da509748aeb64cdbac48f0	RENAME_FUNCTION	check	hook	test/core.plugin.tests.js:2875-2906	test/core.plugin.tests.js:4167-4202	FN	TP			
chart-js	3187a788e17f79ad69da509748aeb64cdbac48f0	RENAME_FUNCTION	check	hook	test/core.plugin.tests.js:2953-2990	test/core.plugin.tests.js:4875-4914	FN	TP			
chart-js	333f2eba99e29ae643671edbef08a245cae9743c	RENAME_FUNCTION	buildScales	buildOrUpdateScales	src/core/core.controller.js:6420-8023	src/core/core.controller.js:6493-8662	TP	TP		Rename Method 1.1.buildScales() renamed to 1.1.buildOrUpdateScales() at src/core/core.controller.js|1.1.buildScales	
chart-js	35dcfe00b1ae7199f8ed6c3748a72f4700c9876d	EXTRACT_FUNCTION	getPixelForValue	getPixelForOffset	src/scales/scale.time.js:12126-12929	src/scales/scale.time.js:11065-11423	TP	TP			
chart-js	35dcfe00b1ae7199f8ed6c3748a72f4700c9876d	EXTRACT_FUNCTION	buildTicks	getLabelCapacity	src/scales/scale.time.js:5184-11046	src/scales/scale.time.js:12896-13321	FN	TP			
chart-js	35dcfe00b1ae7199f8ed6c3748a72f4700c9876d	EXTRACT_FUNCTION	buildTicks	determineUnit	src/scales/scale.time.js:5184-11046	src/scales/scale.time.js:3188-3685			Too Complex		
chart-js	35dcfe00b1ae7199f8ed6c3748a72f4700c9876d	EXTRACT_FUNCTION	buildTicks	determineStepSize	src/scales/scale.time.js:5184-11046	src/scales/scale.time.js:3961-4738			Too Complex		
chart-js	447ca40a7f8baa2ec55f3388e02cabcfe8cbfadc	EXTRACT_FUNCTION	getStackCount	_getStacks	src/controllers/controller.bar.js:4629-5253	src/controllers/controller.bar.js:4691-5308	TP	TP			
chart-js	4a5b5a0e7eba85ca44f658375cb0c78e6af93e5c	EXTRACT_FUNCTION	toBeChartOfSize	toBeValidChart	test/mockContext.js:3943-5414	test/mockContext.js:3943-5011	TP	FN	Good RM Example	Extract Method 1.toBeValidChart() extracted from 1.toBeChartOfSize() in  1 in file test/mockContext.js	
chart-js	4b421a50bfa17f73ac7aa8db7d077e674dbc148d	EXTRACT_MOVE_FUNCTION	draw	lineTo	src/elements/element.line.js:550-5310	src/core/core.canvasHelpers.js:3268-3822	FN	TP	Difficult		
											
chart-js	5196e0506257c3242483c511bb558f3f96023f51	EXTRACT_MOVE_FUNCTION	releaseContext	isNullOrUndef	src/platforms/platform.dom.js:7078-7955	src/helpers/helpers.core.js:643-722	FN	TP			MC
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_FUNCTION	clear	clear	src/core/core.helpers.js:26430-26506	src/helpers/helpers.canvas.js:300-378	FN	TP			MC
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_FUNCTION	each	each	src/core/core.helpers.js:293-861	src/helpers/helpers.core.js:3433-3961	FN	TP			MC
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_FUNCTION	arrayEquals	arrayEquals	src/core/core.helpers.js:29554-30016	src/helpers/helpers.core.js:4242-4722	FN	TP			MC
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_FUNCTION	callback	callback	src/core/core.helpers.js:30038-30154	src/helpers/helpers.core.js:2737-2857	FN	TP			MC
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_FUNCTION	getValueAtIndexOrDefault	getValueAtIndexOrDefault	src/core/core.helpers.js:4420-4652	src/helpers/helpers.core.js:2036-2293	FN	TP			MC
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_FUNCTION	getValueOrDefault	getValueOrDefault	src/core/core.helpers.js:4683-4770	src/helpers/helpers.core.js:1564-1661	FN	TP			MC
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_RENAME_FILE	core.canvasHelpers.js	helpers.canvas.js	src/core/core.canvasHelpers.js:0-3995	src/helpers/helpers.canvas.js:0-6421	TP	TP			
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_RENAME_FUNCTION	drawRoundedRectangle	roundedRect	src/core/core.helpers.js:28504-29016	src/helpers/helpers.canvas.js:1147-1709	FN	TP			MC
chart-js	548edc65ea96ac51ab17bde2942fd6f319f63e8c	EXTRACT_FUNCTION	addEventListener	addEventListener	src/platforms/platform.dom.js:7969-8480	src/platforms/platform.dom.js:9828-10339	TN	FP	MRM		"MC, VN"
chart-js	548edc65ea96ac51ab17bde2942fd6f319f63e8c	EXTRACT_FUNCTION	removeEventListener	removeEventListener	src/platforms/platform.dom.js:8506-8941	src/platforms/platform.dom.js:10365-10800	TN	FP	MRM		"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	linear	linear	src/core/core.helpers.js:12255-12285	src/helpers/helpers.easing.js:154-182					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInQuad	easeInQuad	src/core/core.helpers.js:12301-12335	src/helpers/helpers.easing.js:198-230					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeOutQuad	easeOutQuad	src/core/core.helpers.js:12352-12397	src/helpers/helpers.easing.js:247-286					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInOutQuad	easeInOutQuad	src/core/core.helpers.js:12416-12533	src/helpers/helpers.easing.js:305-411					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInCubic	easeInCubic	src/core/core.helpers.js:12550-12588	src/helpers/helpers.easing.js:428-464					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeOutCubic	easeOutCubic	src/core/core.helpers.js:12606-12668	src/helpers/helpers.easing.js:482-532					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInOutCubic	easeInOutCubic	src/core/core.helpers.js:12688-12809	src/helpers/helpers.easing.js:552-662					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInQuart	easeInQuart	src/core/core.helpers.js:12826-12868	src/helpers/helpers.easing.js:679-719					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeOutQuart	easeOutQuart	src/core/core.helpers.js:12886-12953	src/helpers/helpers.easing.js:737-794					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInOutQuart	easeInOutQuart	src/core/core.helpers.js:12973-13103	src/helpers/helpers.easing.js:814-933					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInQuint	easeInQuint	src/core/core.helpers.js:13120-13177	src/helpers/helpers.easing.js:950-994					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeOutQuint	easeOutQuint	src/core/core.helpers.js:13195-13265	src/helpers/helpers.easing.js:1012-1070					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInOutQuint	easeInOutQuint	src/core/core.helpers.js:13285-13422	src/helpers/helpers.easing.js:1090-1216					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInSine	easeInSine	src/core/core.helpers.js:13438-13507	src/helpers/helpers.easing.js:1232-1291					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeOutSine	easeOutSine	src/core/core.helpers.js:13524-13588	src/helpers/helpers.easing.js:1308-1362					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInOutSine	easeInOutSine	src/core/core.helpers.js:13607-13676	src/helpers/helpers.easing.js:1381-1442					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInExpo	easeInExpo	src/core/core.helpers.js:13692-13770	src/helpers/helpers.easing.js:1458-1526					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeOutExpo	easeOutExpo	src/core/core.helpers.js:13787-13867	src/helpers/helpers.easing.js:1543-1611					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInOutExpo	easeInOutExpo	src/core/core.helpers.js:13886-14104	src/helpers/helpers.easing.js:1630-1831					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInCirc	easeInCirc	src/core/core.helpers.js:14120-14223	src/helpers/helpers.easing.js:1847-1934					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeOutCirc	easeOutCirc	src/core/core.helpers.js:14240-14307	src/helpers/helpers.easing.js:1951-2008					"MC, VN"
