id	project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	rm_validation	rd_validation	comment	description	tags
1	angular.js	03043839d5a540b02208001fe12e812dfde00a8e	MOVE_FILE	script.js	script.js	test/e2e/fixtures/angular-already-loaded/script.js:0-137|(1,0)-(8,0)	test/e2e/fixtures/angularjs-already-loaded/script.js:0-137|(1,0)-(8,0)	TP	TP			
2	angular.js	03043839d5a540b02208001fe12e812dfde00a8e	RENAME_FILE	angular-already-loaded.spec.js	angularjs-already-loaded.spec.js	test/e2e/tests/angular-already-loaded.spec.js:0-297|(1,0)-(12,0)	test/e2e/tests/angularjs-already-loaded.spec.js:0-301|(1,0)-(12,0)	TP	TP			
3	angular.js	05fdf918d97a379634c8b0e15da8615edfc6fb8d	EXTRACT_FUNCTION	setupModelWatcher	$$setModelValue	src/ng/directive/ngModel.js:34839-36405	src/ng/directive/ngModel.js:39763-39914	FN	TP	Complex EM 		
4	angular.js	097947fd3bd280fcf621e36154a9d4f82896ff01	RENAME_FUNCTION	resumeBootstrapInternal	doBootstrap	src/Angular.js:27128-27734	src/Angular.js:27116-27722	TP	TP			
5	angular.js	0cbc50512126fa22546dbe9b79a14939d9dc4459	ADD_PARAMETER					TP		Need Further Confirmation	Add Parameter html5Mode in method parseAppUrl(url ,locationObj ,html5Mode) atsrc/ng/location.js|parseAppUrl	
6	angular.js	0cbc50512126fa22546dbe9b79a14939d9dc4459	EXTRACT_FUNCTION	parseAppUrl	decodePath	src/ng/location.js:821-1500	src/ng/location.js:590-963	FN	FN	Large Megeed Arugments not possible to handle by  RM		
7	angular.js	0ce9348bc01811a88e0e19f85e5bf74536ad4dd4	INTERNAL_MOVE_FUNCTION	createCallback	createCallback	src/ng/jsonpCallbacks.js:1224-1528	src/ng/jsonpCallbacks.js:1197-1501	FN	TP	debatable		
8	angular.js	0ce9348bc01811a88e0e19f85e5bf74536ad4dd4	INTERNAL_MOVE_FUNCTION	createCallback	createCallback	src/ng/jsonpCallbacks.js:493-700	src/ng/jsonpCallbacks.js:466-673	FN	TP	debatable		
9	angular.js	0ce9348bc01811a88e0e19f85e5bf74536ad4dd4	INTERNAL_MOVE_FUNCTION	getResponse	getResponse	src/ng/jsonpCallbacks.js:2540-2619	src/ng/jsonpCallbacks.js:2513-2592	FN	TP	debatable		
10	angular.js	0ce9348bc01811a88e0e19f85e5bf74536ad4dd4	INTERNAL_MOVE_FUNCTION	removeCallback	removeCallback	src/ng/jsonpCallbacks.js:2984-3147	src/ng/jsonpCallbacks.js:2957-3120	FN	TP	debatable		
11	angular.js	0ce9348bc01811a88e0e19f85e5bf74536ad4dd4	INTERNAL_MOVE_FUNCTION	wasCalled	wasCalled	src/ng/jsonpCallbacks.js:2008-2089	src/ng/jsonpCallbacks.js:1981-2062	FN	TP	debatable		
12	angular.js	189461f9bf6fda18ddbd16c42f2e959cf939c3da	INTERNAL_MOVE_FUNCTION	isAllDefined	isAllDefined	src/ng/parse.js:61846-62044	src/ng/parse.js:61288-61474	FN	TP	INTERNAL_MOVE		
13	angular.js	1e90d030771b68d55dffd56898a380f903712b66	RENAME_FUNCTION	checkXSRF	checkXsrf	test/ng/httpSpec.js:27462-27623	test/ng/httpSpec.js:82991-83157	FN	TP			
14	angular.js	1e9eadcd72dbbd5c67dae8328a63e535cfa91ff9	INLINE_FUNCTION	getValue	parseStringifyInterceptor	src/ng/interpolate.js:13045-13192	src/ng/interpolate.js:15828-16568	TP	TP	Expression based Inline		
15	angular.js	223de59e988dc0cc8b4ec3a045b7c0735eba1c77	EXTRACT_FUNCTION	$setSubmitted	$$setSubmitted	src/ng/directive/form.js:9150-9310|(279,2)-(283,3)	src/ng/directive/form.js:9475-9732|(289,2)-(297,3)	TP	FN	8e104ee508418bc2ebb65e5b4ac73d22285cc224		
16	angular.js	2636105c5e363f14cda890f19ac9c3bc57556dd2	MOVE_FUNCTION	cssMatcher	cssMatcher	test/testabilityPatch.js:1857-2555	test/matchers.js:27-750	FN	TP	Fixable		
17	angular.js	2636105c5e363f14cda890f19ac9c3bc57556dd2	MOVE_FUNCTION	toBeOneOf	toBeOneOf	test/testabilityPatch.js:4911-4995	test/matchers.js:2833-2918	FN	TP			
18	angular.js	2636105c5e363f14cda890f19ac9c3bc57556dd2	MOVE_FUNCTION	toEqualData	toEqualData	test/testabilityPatch.js:2815-2885	test/matchers.js:1010-1088	FN	TP			
19	angular.js	2636105c5e363f14cda890f19ac9c3bc57556dd2	MOVE_FUNCTION	toEqualError	toEqualError	test/testabilityPatch.js:3215-3657	test/matchers.js:1109-1551	FN	TP			
20	angular.js	2636105c5e363f14cda890f19ac9c3bc57556dd2	MOVE_FUNCTION	toHaveBeenCalledOnce	toHaveBeenCalledOnce	test/testabilityPatch.js:4173-4892	test/matchers.js:2091-2814	FN	TP	Fixable		
21	angular.js	2636105c5e363f14cda890f19ac9c3bc57556dd2	MOVE_FUNCTION	toMatchError	toMatchError	test/testabilityPatch.js:3678-4144	test/matchers.js:1572-2062	FN	TP	Fixable		MC
22	angular.js	2ee5033967d5f87a516bad137686b0592e25d26b	RENAME_FUNCTION	regularInterceptedExpression	fn	src/ng/parse.js:63364-63582	src/ng/parse.js:64284-64495	FN	TP			
23	angular.js	38f8c97af74649ce224b6dd45f433cc665acfbfb	INLINE_FUNCTION	check	controller	test/ng/compileSpec.js:249453-249940	test/ng/compileSpec.js:243014-243386			Too complex to verify		
24	angular.js	38f8c97af74649ce224b6dd45f433cc665acfbfb	INLINE_FUNCTION	check	controller	test/ng/compileSpec.js:249453-249940	test/ng/compileSpec.js:245460-245832			Too complex to verify		
25	angular.js	38f8c97af74649ce224b6dd45f433cc665acfbfb	INTERNAL_MOVE_FUNCTION	getProp	getProp	test/ng/compileSpec.js:273209-273279	test/ng/compileSpec.js:257642-257704	FN	TP	debatable		
26	angular.js	38f8c97af74649ce224b6dd45f433cc665acfbfb	INTERNAL_MOVE_RENAME_FUNCTION	check	$onInit	test/ng/compileSpec.js:252151-252452	test/ng/compileSpec.js:232931-233308	FN	TP			
27	angular.js	38f8c97af74649ce224b6dd45f433cc665acfbfb	INTERNAL_MOVE_RENAME_FUNCTION	check	$onInit	test/ng/compileSpec.js:253050-253373	test/ng/compileSpec.js:241267-241570	FN	TP			
28	angular.js	38f8c97af74649ce224b6dd45f433cc665acfbfb	INTERNAL_MOVE_RENAME_FUNCTION	check	$onInit	test/ng/compileSpec.js:255191-255492	test/ng/compileSpec.js:243054-243335	FN	TP			
29	angular.js	38f8c97af74649ce224b6dd45f433cc665acfbfb	INTERNAL_MOVE_RENAME_FUNCTION	check	$onInit	test/ng/compileSpec.js:256090-256413	test/ng/compileSpec.js:246184-246487	FN	TP			
30	angular.js	38f8c97af74649ce224b6dd45f433cc665acfbfb	INTERNAL_MOVE_RENAME_FUNCTION	check	$onInit	test/ng/compileSpec.js:258229-258530	test/ng/compileSpec.js:245500-245781	FN	TP			
31	angular.js	38f8c97af74649ce224b6dd45f433cc665acfbfb	INTERNAL_MOVE_RENAME_FUNCTION	check	$onInit	test/ng/compileSpec.js:259155-259478	test/ng/compileSpec.js:243715-244018	FN	TP			
32	angular.js	38f8c97af74649ce224b6dd45f433cc665acfbfb	REMOVE_PARAMETER					TP		Need Further Confirmation	Remove Parameter compileProvider in method createControllerDecorator(compileProvider) from src/ngMock/angular-mocks.js|createControllerDecorator	
33	angular.js	38f8c97af74649ce224b6dd45f433cc665acfbfb	RENAME_FUNCTION	check	$onInit	test/ng/compileSpec.js:234544-234965	test/ng/compileSpec.js:226909-227286	FN	TP			
34	angular.js	38f8c97af74649ce224b6dd45f433cc665acfbfb	RENAME_FUNCTION	check	$onInit	test/ng/compileSpec.js:243366-243787	test/ng/compileSpec.js:240606-240887	FN	TP			
35	angular.js	42e622b751d1ad1520b824473f9ad31e7efb75b3	EXTRACT_FUNCTION	extractArgs	stringifyFn	src/auto/injector.js:2394-2581	src/auto/injector.js:2394-2469	FN	TP			
36	angular.js	42e622b751d1ad1520b824473f9ad31e7efb75b3	EXTRACT_MOVE_FUNCTION	nodeLinkFn	setupControllers	src/ng/compile.js:124567-132721	src/ng/compile.js:133977-135217	FN	FN			
37	angular.js	42e622b751d1ad1520b824473f9ad31e7efb75b3	RENAME_VARIABLE	directive	controllerDirective	src/ng/compile.js:126762-126800|(2811,16)-(2811,54)	src/ng/compile.js:126920-126968|(2814,14)-(2814,62)	FP	TN			
38	angular.js	4a12ae7b3617e7c5389cf67ce3e3c7b309fcd9b9	MOVE_FUNCTION	errorHandlingConfig	errorHandlingConfig	src/Angular.js:3161-3429|(157,0)-(165,1)	src/minErr.js:955-1223|(34,0)-(42,1)	TP	TP			
39	angular.js	4a12ae7b3617e7c5389cf67ce3e3c7b309fcd9b9	MOVE_FUNCTION	isValidObjectMaxDepth	isValidObjectMaxDepth	src/Angular.js:3500-3589|(172,0)-(174,1)	src/minErr.js:1294-1383|(49,0)-(51,1)	TP	TP			
40	angular.js	4adc9a9117e7f7501d94c22c8cbbfeb77ad5d596	EXTRACT_FUNCTION	commitRoute	getTemplateFor	src/ngRoute/route.js:22178-24851	src/ngRoute/route.js:24271-24880	FN	TP	Fixable		MC
41	angular.js	538f4606ff32e776b093243fed4af3460df74f2a	RENAME_FUNCTION	setOptionAsSelected	setOptionSelectedStatus	src/ng/directive/select.js:10057-10192	src/ng/directive/select.js:133-622	FN	TP			
42	angular.js	560951e9881b5f772262804384b4da9f673b925e	INTERNAL_MOVE_FUNCTION	stringify	stringify	src/ng/interpolate.js:10146-10519	src/ng/interpolate.js:2709-3036					
43	angular.js	560951e9881b5f772262804384b4da9f673b925e	INTERNAL_MOVE_FUNCTION	unescapeText	unescapeText	src/ng/interpolate.js:11766-11913	src/ng/interpolate.js:2562-2703					
44	angular.js	5878f07474755cb3df1e727cef4e7e4716f44783	MOVE_FUNCTION	toEqualSelect	toEqualSelect	test/ng/directive/selectSpec.js:2600-3250	test/helpers/matchers.js:12377-12993	FN	TP			
45	angular.js	60069e67aeb0352a7849ebfef15a6183bc3b7235	EXTRACT_FUNCTION	prepareRoute	isNavigationUpdateOnly	src/ngRoute/route.js:25923-26568|(652,4)-(667,5)	src/ngRoute/route.js:33138-33809|(857,4)-(872,5)	TP	TP			
46	angular.js	60069e67aeb0352a7849ebfef15a6183bc3b7235	PARAMETERIZE_VARIABLE					TP			Parameterize Variable lastRoute to oldRoute in $RouteProvider.4.isNavigationUpdateOnly(newRoute ,oldRoute) at src/ngRoute/route.js|$RouteProvider.4.isNavigationUpdateOnly	
47	angular.js	641e13acc180000a8b1293a1bf9dfef29673e2ea	INLINE_FUNCTION	remove	clearElementAnimationState	src/apis.js:1553-1668	src/ngAnimate/animateQueue.js:23733-23875	TN	TN			
48	angular.js	641e13acc180000a8b1293a1bf9dfef29673e2ea	INLINE_FUNCTION	remove	closeChildAnimations	src/apis.js:1553-1668	src/ngAnimate/animateQueue.js:23112-23727	TN	TN			
49	angular.js	641e13acc180000a8b1293a1bf9dfef29673e2ea	INLINE_FUNCTION	remove	handleCSSClassChanges	src/apis.js:1553-1668	src/ng/animate.js:3121-4102	TN	TN			
50	angular.js	667d4734fcf7a58a58d29bd87fac32a7831df184	INTERNAL_MOVE_FUNCTION	debug	debug	test/ng/logSpec.js:3262-3331	test/ng/logSpec.js:3603-3672	FN	TP	debatable		
51	angular.js	667d4734fcf7a58a58d29bd87fac32a7831df184	INTERNAL_MOVE_FUNCTION	error	error	test/ng/logSpec.js:3173-3242	test/ng/logSpec.js:3512-3581	FN	TP	debatable		
52	angular.js	667d4734fcf7a58a58d29bd87fac32a7831df184	INTERNAL_MOVE_FUNCTION	info	info	test/ng/logSpec.js:3085-3153	test/ng/logSpec.js:3422-3490	FN	TP	debatable		
53	angular.js	667d4734fcf7a58a58d29bd87fac32a7831df184	INTERNAL_MOVE_FUNCTION	log	log	test/ng/logSpec.js:2912-2979	test/ng/logSpec.js:3245-3312	FN	TP	debatable		
54	angular.js	667d4734fcf7a58a58d29bd87fac32a7831df184	INTERNAL_MOVE_FUNCTION	TestError	TestError	test/ng/logSpec.js:4256-4467	test/ng/logSpec.js:4709-4944	FN	TP	debatable		
55	angular.js	667d4734fcf7a58a58d29bd87fac32a7831df184	INTERNAL_MOVE_FUNCTION	warn	warn	test/ng/logSpec.js:2998-3066	test/ng/logSpec.js:3333-3401	FN	TP	debatable		
56	angular.js	667d4734fcf7a58a58d29bd87fac32a7831df184	INTERNAL_MOVE_RENAME_FUNCTION	removeApplyFunctionForIE	attachMockConsoleTo$window	test/ng/logSpec.js:1811-2146	test/ng/logSpec.js:1743-2215	FN	TP			
57	angular.js	7e2e235cf25389a59ea957631ff07c6cc8a3ad32	ADD_PARAMETER					TP			Add Parameter reason in method createHttpBackend.1.timeoutRequest(reason) atsrc/ng/httpBackend.js|createHttpBackend.1.timeoutRequest	
58	angular.js	7e2e235cf25389a59ea957631ff07c6cc8a3ad32	ADD_PARAMETER					TP			Add Parameter reason in method createHttpBackendMock.$httpBackend.wrapResponse.handlePrematureEnd(reason) atsrc/ngMock/angular-mocks.js|createHttpBackendMock.$httpBackend.wrapResponse.handlePrematureEnd	
59	angular.js	7e2e235cf25389a59ea957631ff07c6cc8a3ad32	RENAME_FUNCTION	handleTimeout	handlePrematureEnd	src/ngMock/angular-mocks.js:43688-43973|(1397,6)-(1405,7)	src/ngMock/angular-mocks.js:43847-44140|(1401,6)-(1409,7)	TP	TP			
60	angular.js	817ac56719505680ac4c9997972e8f39eb40a6d0	EXTRACT_FUNCTION	$broadcast	invokeListeners	src/ng/rootScope.js:51676-53527	src/ng/rootScope.js:52942-53723	FN	FN			
61	angular.js	837acd14e005c79d8e79f59a0075075f125da50c	EXTRACT_MOVE_FUNCTION	_argToString	isError	test/ng/qSpec.js:1777-1899	src/Angular.js:16609-16866	FN	FN			
