id	project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	rm_validation	rd_validation	comment	description	tags													
35	angular.js	42e622b751d1ad1520b824473f9ad31e7efb75b3	EXTRACT_FUNCTION	extractArgs	stringifyFn	src/auto/injector.js:2394-2581	src/auto/injector.js:2394-2469	FN	TP			SubExp,NotSupportedByRM													
36	angular.js	42e622b751d1ad1520b824473f9ad31e7efb75b3	EXTRACT_MOVE_FUNCTION	nodeLinkFn	setupControllers	src/ng/compile.js:124567-132721	src/ng/compile.js:133977-135217	FN	FN																
37	angular.js	42e622b751d1ad1520b824473f9ad31e7efb75b3	RENAME_VARIABLE	directive	controllerDirective	src/ng/compile.js:126762-126800|(2811,16)-(2811,54)	src/ng/compile.js:126920-126968|(2814,14)-(2814,62)	TP																	
38	angular.js	4a12ae7b3617e7c5389cf67ce3e3c7b309fcd9b9	MOVE_FUNCTION	errorHandlingConfig	errorHandlingConfig	src/Angular.js:3161-3429|(157,0)-(165,1)	src/minErr.js:955-1223|(34,0)-(42,1)	TP	TP																
39	angular.js	4a12ae7b3617e7c5389cf67ce3e3c7b309fcd9b9	MOVE_FUNCTION	isValidObjectMaxDepth	isValidObjectMaxDepth	src/Angular.js:3500-3589|(172,0)-(174,1)	src/minErr.js:1294-1383|(49,0)-(51,1)	TP	TP																
44	angular.js	5878f07474755cb3df1e727cef4e7e4716f44783	MOVE_FUNCTION	toEqualSelect	toEqualSelect	test/ng/directive/selectSpec.js:2600-3250	test/helpers/matchers.js:12377-12993	FN	TP			MethodMovedFromOneAnonymousToAnotherFilesAnonymous,NotSupportedByRM													
66	angular.js	8d6ac5f3178cb6ead6b3b7526c50cd1c07112097	RENAME_FUNCTION	toMap	arrayToMap	src/ngSanitize/sanitize.js:12678-12892|(302,2)-(308,3)	src/ngSanitize/sanitize.js:17105-17302|(409,2)-(415,3)	TP	TP																
83	angular.js	cdaa6a951b8fce67673bec224a7ad1f24f0a05bf	EXTRACT_MOVE_FUNCTION	processQueue	markQStateExceptionHandled	src/ng/q.js:13214-14032	src/ng/q.js:22824-22890	FN	TP			ExtractedOutsideOfParentContainer,NotSupportedByRM													
82	angular.js	cdaa6a951b8fce67673bec224a7ad1f24f0a05bf	EXTRACT_MOVE_FUNCTION	processChecks	markQStateExceptionHandled	src/ng/q.js:14036-14537	src/ng/q.js:22824-22890	FN	TP			ExtractedOutsideOfParentContainer,NotSupportedByRM													
84	angular.js	cdaa6a951b8fce67673bec224a7ad1f24f0a05bf	EXTRACT_MOVE_FUNCTION	scheduleProcessQueue	isStateExceptionHandled	src/ng/q.js:14541-14969	src/ng/q.js:22758-22823	FN	FN																
108	atom	48d36776648149c4170fed630207ef9ec1cb962a	RENAME_FUNCTION	replaceAtomProject	replace	src/project.js:2628-2869	src/project.js:2628-3000	TP	TP																
107	atom	48d36776648149c4170fed630207ef9ec1cb962a	RENAME_FUNCTION	onDidReplaceAtomProject	onDidReplace	src/project.js:2873-2974	src/project.js:3004-3081	TP	FN																
106	atom	48d36776648149c4170fed630207ef9ec1cb962a	RENAME_FUNCTION	getAtomProjectFilePath	getProjectFilePath	src/project.js:3150-3213	src/project.js:3085-3144	TP	TP	Easy Ref Missed BY RM															
111	atom	50088b16c9a4e6fda78ea98430bb0705229883e8	RENAME_FUNCTION	isVerticalScrollbarVisible	canScrollVertically	src/text-editor-component.js:90087-90501	src/text-editor-component.js:90408-90815	TP	TP	Fixable															
110	atom	50088b16c9a4e6fda78ea98430bb0705229883e8	RENAME_FUNCTION	isHorizontalScrollbarVisible	canScrollHorizontally	src/text-editor-component.js:90505-90959	src/text-editor-component.js:90819-91266	TP	TP																
116	atom	72c30d7e78f94e432874b54e2c9d71857a06211a	RENAME_FUNCTION	isWatched	isWatchedPath	src/path-watcher.js:16717-16771	src/path-watcher.js:16721-16775	FN	TP			FunctionVariableRenamed													
123	atom	7ce5b000e448552bb4ba9556c8f38ccfef127162	INLINE_FUNCTION	loadDataOverProcessBoundary	constructor	src/main-process/atom-window.js:5464-5785	src/main-process/atom-window.js:376-5195	FN	TP			SubExp,NotSupportedByRM													
124	atom	7ce5b000e448552bb4ba9556c8f38ccfef127162	INTERNAL_MOVE_FUNCTION	get	get	src/main-process/atom-window.js:5576-5748	src/main-process/atom-window.js:2451-2623			Not Sure															
133	atom	cb783fd15cea1d06b254799e7af8ff71d7d7ed33	RENAME_VARIABLE	watcher	w	src/path-watcher.js:19306-19371	src/path-watcher.js:20255-20314	TP			Rename Variable watcher to w in PathWatcherManager.createWatcher(rootPath ,options ,eventCallback) at src/path-watcher.js|PathWatcherManager.createWatcher														
130	atom	cb783fd15cea1d06b254799e7af8ff71d7d7ed33	RENAME_CLASS	NSFWBackend	NSFWNativeWatcher	src/path-watcher.js:3980-4738	src/path-watcher.js:8375-9190	FN	TP			DirectStatementsInsideClass,NotSupportedByRM													
131	atom	cb783fd15cea1d06b254799e7af8ff71d7d7ed33	RENAME_FUNCTION	start	doStart	src/path-watcher.js:4002-4688	src/path-watcher.js:8425-9138	FN	TP																
128	atom	cb783fd15cea1d06b254799e7af8ff71d7d7ed33	RENAME_CLASS	AtomBackend	AtomNativeWatcher	src/path-watcher.js:890-3895	src/path-watcher.js:5352-8290	FN	TP			DirectStatementsInsideClass,NotSupportedByRM													
129	atom	cb783fd15cea1d06b254799e7af8ff71d7d7ed33	RENAME_CLASS	AtomBackend	NSFWNativeWatcher	src/path-watcher.js:890-3895	src/path-watcher.js:8375-9190	FP	TN			DirectStatementsInsideClass,NotSupportedByRM													
132	atom	cb783fd15cea1d06b254799e7af8ff71d7d7ed33	RENAME_FUNCTION	start	doStart	src/path-watcher.js:912-3833	src/path-watcher.js:5402-8288	FN	TP																
151	axios	3d65057d7111d7873cf4fad40805cd9ebe327574	RENAME_FILE	urlIsSameOrigin.js	isURLSameOrigin.js	lib/helpers/urlIsSameOrigin.js:0-1831	lib/helpers/isURLSameOrigin.js:0-2206	FN	TP			SubExp													
153	axios	3d65057d7111d7873cf4fad40805cd9ebe327574	RENAME_FUNCTION	urlResolve	resolveURL	lib/helpers/urlIsSameOrigin.js:466-1347	lib/helpers/isURLSameOrigin.js:541-1506	FN	TP			RenamedFunctionInsideAnonymousWhichFileRenamed,NotSupportedByRM													
