project	commit_id	refactoring_type	location_before	name_before	location_after	name_after	rm_validation	rd_validation	comment	refactoring	Tags
chart-js	03735563f44e1ae108f83b9c7ee946f8818c92c3	RENAME_FUNCTION	src/elements/element.point.js:636-775	inLabelRange	src/elements/element.point.js:383-526	xRange			Complex, pssible FP		NV
chart-js	182270ef9b1bc9fab1cefc89ce1e94a41f4d754f	RENAME_FUNCTION	gulpfile.js:4847-5433	lintTask	gulpfile.js:4880-5493	lintJsTask	TP	TP		Rename Method lintTask() renamed to lintJsTask() at gulpfile.js|lintTask	
chart-js	1cbba830fdef5ac25f997deb5ae0683db9321a79	MOVE_FUNCTION	src/scales/scale.time.js:2193-2962	parseTime	src/helpers/helpers.time.js:1728-2511	parseTime	FN	TP			MC
chart-js	1cbba830fdef5ac25f997deb5ae0683db9321a79	MOVE_FUNCTION	src/scales/scale.time.js:3188-3685	determineUnit	src/helpers/helpers.time.js:2761-3257	determineUnit	FN	TP			MC
chart-js	1cbba830fdef5ac25f997deb5ae0683db9321a79	MOVE_FUNCTION	src/scales/scale.time.js:3961-4767	determineStepSize	src/helpers/helpers.time.js:3561-4369	determineStepSize	FN	TP			MC
chart-js	1cbba830fdef5ac25f997deb5ae0683db9321a79	MOVE_RENAME_FUNCTION	src/scales/scale.time.js:5021-5517	generateTicks	src/helpers/helpers.time.js:937-1442	generateTicksNiceRange	FN	TP			MC
chart-js	1cbba830fdef5ac25f997deb5ae0683db9321a79	MOVE_RENAME_FUNCTION	src/scales/scale.time.js:5746-6508	time	src/helpers/helpers.time.js:4577-5371	generateTicks	FN	TP			MC
chart-js	1eeffa3d584cdd8d1f54b7455487ae9b13478ebe	EXTRACT_FUNCTION	src/core/core.scale.js:16531-26059	draw	src/core/core.scale.js:16508-18047	_autoSkip	FN	TP			MC
chart-js	2409908027a3762f142a04e7583bd2e88681a867	RENAME_FUNCTION	src/controllers/controller.line.js:8715-8821	capIfNecessary	src/controllers/controller.line.js:8648-8738	capControlPoint	FN	TP	Easy Miss by RM		
chart-js	26c1936dee7dcc2f00b63af9bb04e9af1703e461	MOVE_FUNCTION	src/core/core.helpers.js:283-483	extend	src/helpers/helpers.core.js:7758-7964	extend	FN	TP			MC
chart-js	26c1936dee7dcc2f00b63af9bb04e9af1703e461	MOVE_FUNCTION	src/core/core.helpers.js:3723-4345	inherits	src/helpers/helpers.core.js:8063-8608	inherits	FN	TP			MC
chart-js	2922dc96cfd3c3448538c19c02b349fe939f16eb	EXTRACT_FUNCTION	src/core/core.controller.js:17822-18408	destroy	src/core/core.controller.js:17977-18229	destroyDatasetMeta	TP	FP		Extract Method 1.1.destroyDatasetMeta(datasetIndex) extracted from 1.1.destroy() in  1.1 in file src/core/core.controller.js	
