project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	description
Chart.js	182270ef9b1bc9fab1cefc89ce1e94a41f4d754f	RENAME_VARIABLE	htmlv	htmllint	gulpfile.js:178-216|(6,4)-(6,42)	gulpfile.js:766-801|(22,4)-(22,39)	Rename Variable htmlv to htmllint in gulpfile.js() at null
Chart.js	182270ef9b1bc9fab1cefc89ce1e94a41f4d754f	RENAME_FUNCTION	lintTask	lintJsTask	gulpfile.js:4847-5433|(156,0)-(177,1)	gulpfile.js:4880-5493|(157,0)-(179,1)	Rename Method lintTask() renamed to lintJsTask() at gulpfile.js|lintTask
Chart.js	2922dc96cfd3c3448538c19c02b349fe939f16eb	EXTRACT_FUNCTION	destroy	destroyDatasetMeta	src/core/core.controller.js:17822-18408|(675,2)-(702,3)	src/core/core.controller.js:17977-18229|(682,2)-(691,3)	Extract Method 1.1.destroyDatasetMeta(datasetIndex) extracted from 1.1.destroy() in  1.1 in file src/core/core.controller.js
Chart.js	312773ba7b7e2acf6cd1273c92017d3c197a992b	PARAMETERIZE_VARIABLE	chartEvent	e	src/core/core.controller.js:17424-17476|(619,7)-(619,59)	src/core/core.controller.js:17694-17695|(642,25)-(642,26)	Parameterize Variable chartEvent to e in 1.2.eventHandler(e) at src/core/core.controller.js|1.2.eventHandler
Chart.js	3187a788e17f79ad69da509748aeb64cdbac48f0	ADD_PARAMETER		chart		src/core/core.plugin.js:2405-2410|(97,19)-(97,24)	Add Parameter chart in method 1.1.notify(chart ,extension ,args) atsrc/core/core.plugin.js|1.1.notify
Chart.js	3187a788e17f79ad69da509748aeb64cdbac48f0	RENAME_VARIABLE	plugin	descriptor	src/core/core.plugin.js:1929-1935|(79,10)-(79,16)	src/core/core.plugin.js:2521-2531|(100,10)-(100,20)	Rename Variable plugin to descriptor in 1.1.notify(chart ,extension ,args) at src/core/core.plugin.js|1.1.notify
Chart.js	333f2eba99e29ae643671edbef08a245cae9743c	RENAME_FUNCTION	buildScales	buildOrUpdateScales	src/core/core.controller.js:6420-8023|(226,2)-(283,3)	src/core/core.controller.js:6493-8662|(230,2)-(310,3)	Rename Method 1.1.buildScales() renamed to 1.1.buildOrUpdateScales() at src/core/core.controller.js|1.1.buildScales
Chart.js	35dcfe00b1ae7199f8ed6c3748a72f4700c9876d	EXTRACT_FUNCTION	getPixelForValue	getPixelForOffset	src/scales/scale.time.js:12108-12929|(345,2)-(373,3)	src/scales/scale.time.js:11046-11423|(372,2)-(384,3)	Extract Method 1.2.getPixelForOffset(offset) extracted from 1.1.getPixelForValue(value ,index ,datasetIndex) in  1.2 in file src/scales/scale.time.js
Chart.js	35dcfe00b1ae7199f8ed6c3748a72f4700c9876d	EXTRACT_FUNCTION	buildTicks	getLabelCapacity	src/scales/scale.time.js:5172-11046|(176,2)-(311,3)	src/scales/scale.time.js:12878-13321|(427,2)-(437,3)	Extract Method 1.2.getLabelCapacity(exampleTime) extracted from 1.1.buildTicks() in  1.2 in file src/scales/scale.time.js
Chart.js	35dcfe00b1ae7199f8ed6c3748a72f4700c9876d	RENAME_VARIABLE	roundedStart	dataMin	src/scales/scale.time.js:8830-8842|(249,7)-(249,19)	src/scales/scale.time.js:8783-8803|(300,7)-(300,27)	Rename Variable roundedStart to dataMin in 1.2.buildTicks() at src/scales/scale.time.js|1.2.buildTicks
Chart.js	447ca40a7f8baa2ec55f3388e02cabcfe8cbfadc	RENAME_FUNCTION	getStackCount	_getStacks	src/controllers/controller.bar.js:4614-5253|(207,2)-(227,3)	src/controllers/controller.bar.js:4679-5308|(209,2)-(229,3)	Rename Method 1.1.getStackCount(last) renamed to 1.1._getStacks(last) at src/controllers/controller.bar.js|1.1.getStackCount
