project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	description
Semantic-UI	1b48f527eb73d6bc4b1af2e94d52f51c32cec3c3	EXTRACT_FUNCTION	close	closeOnScroll	dist/components/popup.js:34174-35276|(987,10)-(1011,11)	dist/components/popup.js:34616-34859|(998,10)-(1003,11)	Extract Method 1.1.1.1.1.closeOnScroll() extracted from 1.1.1.1.1.close() in  1.1.1.1.1 in file dist/components/popup.js
Semantic-UI	1b48f527eb73d6bc4b1af2e94d52f51c32cec3c3	EXTRACT_FUNCTION	close	touchClose	dist/components/popup.js:34174-35276|(987,10)-(1011,11)	dist/components/popup.js:34871-35228|(1004,10)-(1012,11)	Extract Method 1.1.1.1.1.touchClose() extracted from 1.1.1.1.1.close() in  1.1.1.1.1 in file dist/components/popup.js
Semantic-UI	1b48f527eb73d6bc4b1af2e94d52f51c32cec3c3	EXTRACT_FUNCTION	close	clickaway	dist/components/popup.js:34174-35276|(987,10)-(1011,11)	dist/components/popup.js:35240-35586|(1013,10)-(1021,11)	Extract Method 1.1.1.1.1.clickaway() extracted from 1.1.1.1.1.close() in  1.1.1.1.1 in file dist/components/popup.js
Semantic-UI	1b48f527eb73d6bc4b1af2e94d52f51c32cec3c3	EXTRACT_FUNCTION	close	closeOnScroll	dist/semantic.js:366608-367710|(11154,10)-(11178,11)	dist/semantic.js:368077-368320|(11194,10)-(11199,11)	Extract Method 10.1.1.1.1.closeOnScroll() extracted from 10.1.1.1.1.close() in  10.1.1.1.1 in file dist/semantic.js
Semantic-UI	1b48f527eb73d6bc4b1af2e94d52f51c32cec3c3	EXTRACT_FUNCTION	close	touchClose	dist/semantic.js:366608-367710|(11154,10)-(11178,11)	dist/semantic.js:368332-368689|(11200,10)-(11208,11)	Extract Method 10.1.1.1.1.touchClose() extracted from 10.1.1.1.1.close() in  10.1.1.1.1 in file dist/semantic.js
Semantic-UI	1b48f527eb73d6bc4b1af2e94d52f51c32cec3c3	EXTRACT_FUNCTION	close	clickaway	dist/semantic.js:366608-367710|(11154,10)-(11178,11)	dist/semantic.js:368701-369047|(11209,10)-(11217,11)	Extract Method 10.1.1.1.1.clickaway() extracted from 10.1.1.1.1.close() in  10.1.1.1.1 in file dist/semantic.js
Semantic-UI	27ff17b55b2c3af03bf3c1fa7449a44a40f7bafe	RENAME_FUNCTION	readData	readDataFromParent	examples/assets/library/iframe-content.js:2513-3611|(87,2)-(109,3)	examples/assets/library/iframe-content.js:5115-6273|(182,2)-(204,3)	Rename Method 1.readData() renamed to 1.readDataFromParent() at examples/assets/library/iframe-content.js|1.readData
Semantic-UI	27ff17b55b2c3af03bf3c1fa7449a44a40f7bafe	EXTRACT_FUNCTION	init	readDataFromPage	examples/assets/library/iframe-content.js:2097-2509|(72,2)-(85,3)	examples/assets/library/iframe-content.js:6277-7613|(206,2)-(236,3)	Extract Method 1.readDataFromPage() extracted from 1.init() in  1 in file examples/assets/library/iframe-content.js
Semantic-UI	27ff17b55b2c3af03bf3c1fa7449a44a40f7bafe	EXTRACT_FUNCTION	checkHeightMode	checkCalcMode	examples/assets/library/iframe-content.js:5943-6273|(173,2)-(181,3)	examples/assets/library/iframe-content.js:11470-11822|(321,2)-(331,3)	Extract Method 1.checkCalcMode(calcMode ,calcModeDefault ,modes ,type) extracted from 1.checkHeightMode() in  1 in file examples/assets/library/iframe-content.js
Semantic-UI	27ff17b55b2c3af03bf3c1fa7449a44a40f7bafe	EXTRACT_FUNCTION	sendSize	sizeIFrame	examples/assets/library/iframe-content.js:16446-18251|(526,2)-(592,3)	examples/assets/library/iframe-content.js:27137-28598|(865,2)-(914,3)	Extract Method 1.sizeIFrame(triggerEvent ,triggerEventDesc ,customHeight ,customWidth) extracted from 1.sendSize(triggerEvent ,triggerEventDesc ,customHeight ,customWidth) in  1 in file examples/assets/library/iframe-content.js
Semantic-UI	27ff17b55b2c3af03bf3c1fa7449a44a40f7bafe	ADD_PARAMETER		iframeId		examples/assets/library/iframe.js:15982-15990|(559,27)-(559,35)	Add Parameter iframeId in method 1.getPagePosition(iframeId) atexamples/assets/library/iframe.js|1.getPagePosition
Semantic-UI	27ff17b55b2c3af03bf3c1fa7449a44a40f7bafe	ADD_PARAMETER		iframe		examples/assets/library/iframe.js:20634-20640|(700,23)-(700,29)	Add Parameter iframe in method 1.setupIFrame(iframe ,options) atexamples/assets/library/iframe.js|1.setupIFrame
Semantic-UI	27ff17b55b2c3af03bf3c1fa7449a44a40f7bafe	RENAME_FUNCTION	throttle	debouce	examples/assets/library/iframe.js:16787-16938|(572,2)-(579,3)	examples/assets/library/iframe.js:26248-26401|(868,2)-(875,3)	Rename Method 1.throttle(fn ,time) renamed to 1.debouce(fn ,time) at examples/assets/library/iframe.js|1.throttle
Semantic-UI	27ff17b55b2c3af03bf3c1fa7449a44a40f7bafe	EXTRACT_FUNCTION	factory	setupEventListeners	examples/assets/library/iframe.js:17207-18214|(591,2)-(622,3)	examples/assets/library/iframe.js:28867-29344|(964,2)-(973,3)	Extract Method 1.setupEventListeners() extracted from 1.factory() in  1 in file examples/assets/library/iframe.js
Semantic-UI	27ff17b55b2c3af03bf3c1fa7449a44a40f7bafe	REMOVE_PARAMETER	target		examples/assets/library/iframe.js:8715-8721|(307,28)-(307,34)		Remove Parameter target in method 1.iFrameListener.findTarget.jumpToTarget(target) from examples/assets/library/iframe.js|1.iFrameListener.findTarget.jumpToTarget
Semantic-UI	27ff17b55b2c3af03bf3c1fa7449a44a40f7bafe	RENAME_PARAMETER	iframeID	iframeId	examples/assets/library/iframe.js:10244-10252|(364,25)-(364,33)	examples/assets/library/iframe.js:13922-13930|(473,25)-(473,33)	Rename Parameter iframeID to iframeId in 1.iFrameListener.hasSettings(iframeId) at examples/assets/library/iframe.js|1.iFrameListener.hasSettings
Semantic-UI	27ff17b55b2c3af03bf3c1fa7449a44a40f7bafe	RENAME_VARIABLE	iframeID	iframeId	examples/assets/library/iframe.js:10530-10545|(378,6)-(378,21)	examples/assets/library/iframe.js:14719-14734|(506,6)-(506,21)	Rename Variable iframeID to iframeId in 1.iFrameListener(event) at examples/assets/library/iframe.js|1.iFrameListener
Semantic-UI	27ff17b55b2c3af03bf3c1fa7449a44a40f7bafe	RENAME_VARIABLE	iframeID	iframeId	examples/assets/library/iframe.js:12145-12177|(435,8)-(435,40)	examples/assets/library/iframe.js:17904-17936|(621,8)-(621,40)	Rename Variable iframeID to iframeId in 1.setSize(messageData) at examples/assets/library/iframe.js|1.setSize
Semantic-UI	27ff17b55b2c3af03bf3c1fa7449a44a40f7bafe	EXTRACT_FUNCTION	processOptions	copyOptions	examples/assets/library/iframe.js:16161-16546|(545,4)-(558,5)	examples/assets/library/iframe.js:24978-25225|(822,4)-(828,5)	Extract Method 1.setupIFrame.copyOptions(options) extracted from 1.setupIFrame.processOptions(options) in  1.setupIFrame in file examples/assets/library/iframe.js
Semantic-UI	27ff17b55b2c3af03bf3c1fa7449a44a40f7bafe	RENAME_PARAMETER	iframeID	iframeId	examples/assets/library/iframe.js:13359-13367|(475,25)-(475,33)	examples/assets/library/iframe.js:21604-21612|(732,25)-(732,33)	Rename Parameter iframeID to iframeId in 1.setupIFrame.ensureHasId(iframeId) at examples/assets/library/iframe.js|1.setupIFrame.ensureHasId
Semantic-UI	2c26746dcedcc1610ab2c4ce0b64c218ab324547	RENAME_VARIABLE	isOutsideScreen	isOffscreenRight	src/definitions/modules/dropdown.js:115124-115148|(3194,14)-(3194,38)	src/definitions/modules/dropdown.js:115687-115711|(3209,14)-(3209,38)	Rename Variable isOutsideScreen to isOffscreenRight in 1.1.1.1.1.openRightward($subMenu) at src/definitions/modules/dropdown.js|1.1.1.1.1.openRightward
Semantic-UI	6bc1c5ec4bdaf349e8ac5877f9fee0139a138d9d	ADD_PARAMETER		showErrors		dist/components/form.js:29107-29117|(852,44)-(852,54)	Add Parameter showErrors in method 1.1.1.1.1.field(field ,fieldName ,showErrors) atdist/components/form.js|1.1.1.1.1.field
Semantic-UI	6bc1c5ec4bdaf349e8ac5877f9fee0139a138d9d	ADD_PARAMETER		callback		dist/components/search.js:16646-16654|(492,24)-(492,32)	Add Parameter callback in method 1.1.1.1.query(callback) atdist/components/search.js|1.1.1.1.query
Semantic-UI	6bc1c5ec4bdaf349e8ac5877f9fee0139a138d9d	ADD_PARAMETER		callback		dist/components/search.js:28950-28958|(868,30)-(868,38)	Add Parameter callback in method 1.1.1.1.showResults(callback) atdist/components/search.js|1.1.1.1.showResults
