project	commit_Id	Refactoring_Type	Name_Before	Name_After	Location_Before	Location_After	Refactoring
angular.js	03043839d5a540b02208001fe12e812dfde00a8e	MOVE_FILE	script.js	script.js	test/e2e/fixtures/angular-already-loaded/script.js:0-137|(1,0)-(8,0)	test/e2e/fixtures/angularjs-already-loaded/script.js:0-137|(1,0)-(8,0)	Move File test/e2e/fixtures/angular-already-loaded/script.js to test/e2e/fixtures/angularjs-already-loaded/script.js
angular.js	03043839d5a540b02208001fe12e812dfde00a8e	RENAME_FILE	angular-already-loaded.spec.js	angularjs-already-loaded.spec.js	test/e2e/tests/angular-already-loaded.spec.js:0-297|(1,0)-(12,0)	test/e2e/tests/angularjs-already-loaded.spec.js:0-301|(1,0)-(12,0)	Rename File test/e2e/tests/angular-already-loaded.spec.js renamed to test/e2e/tests/angularjs-already-loaded.spec.js
angular.js	097947fd3bd280fcf621e36154a9d4f82896ff01	RENAME_FUNCTION	resumeBootstrapInternal	doBootstrap	src/Angular.js:27128-27734|(997,32)-(1015,3)	src/Angular.js:27116-27722|(997,20)-(1015,3)	Rename Method bootstrap.resumeBootstrapInternal() renamed to bootstrap.doBootstrap() at src/Angular.js|bootstrap.resumeBootstrapInternal
angular.js	0cbc50512126fa22546dbe9b79a14939d9dc4459	ADD_PARAMETER					Add Parameter html5Mode in method parseAppUrl(url ,locationObj ,html5Mode) atsrc/ng/location.js|parseAppUrl
angular.js	1e9eadcd72dbbd5c67dae8328a63e535cfa91ff9	INLINE_FUNCTION	parseStringifyInterceptor	getValue	src/ng/interpolate.js:14262-14542|(341,6)-(348,7)	src/ng/interpolate.js:13045-13192|(305,23)-(309,9)	Inline Method $InterpolateProvider.3.$interpolate.getValue(value) inlined to $InterpolateProvider.3.$interpolate.parseStringifyInterceptor(value) at src/ng/interpolate.js|$InterpolateProvider.3.$interpolate.parseStringifyInterceptor
angular.js	223de59e988dc0cc8b4ec3a045b7c0735eba1c77	EXTRACT_FUNCTION	$setSubmitted	$$setSubmitted	src/ng/directive/form.js:9150-9310|(279,2)-(283,3)	src/ng/directive/form.js:9475-9732|(289,2)-(297,3)	Extract Method 1.$$setSubmitted() extracted from 1.$setSubmitted() in  1 in file src/ng/directive/form.js
angular.js	2ee5033967d5f87a516bad137686b0592e25d26b	RENAME_FUNCTION	regularInterceptedExpression	fn	src/ng/parse.js:63364-63582|(1947,6)-(1950,7)	src/ng/parse.js:64284-64495|(1970,15)-(1973,7)	Rename Method $ParseProvider.3.addInterceptor.regularInterceptedExpression(scope ,locals ,assign ,inputs) renamed to $ParseProvider.3.addInterceptor.fn(scope ,locals ,assign ,inputs) at src/ng/parse.js|$ParseProvider.3.addInterceptor.regularInterceptedExpression
angular.js	38f8c97af74649ce224b6dd45f433cc665acfbfb	REMOVE_PARAMETER					Remove Parameter compileProvider in method createControllerDecorator(compileProvider) from src/ngMock/angular-mocks.js|createControllerDecorator
angular.js	42e622b751d1ad1520b824473f9ad31e7efb75b3	RENAME_VARIABLE	directive	controllerDirective	src/ng/compile.js:126762-126800|(2811,16)-(2811,54)	src/ng/compile.js:126920-126968|(2814,14)-(2814,62)	Rename Variable directive to controllerDirective in $CompileProvider.10.applyDirectivesToNode.nodeLinkFn(childLinkFn ,scope ,linkNode ,$rootElement ,boundTranscludeFn) at src/ng/compile.js|$CompileProvider.10.applyDirectivesToNode.nodeLinkFn
angular.js	4a12ae7b3617e7c5389cf67ce3e3c7b309fcd9b9	MOVE_FUNCTION	errorHandlingConfig	errorHandlingConfig	src/Angular.js:3161-3429|(157,0)-(165,1)	src/minErr.js:955-1223|(34,0)-(42,1)	Move Method    errorHandlingConfig(config) from Angular.js to errorHandlingConfig(config) at minErr.js
