project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	description
atom	062dfdea80861f9c918c99a3f86895f908635862	RENAME_PARAMETER	newSettings	projectSpecification	src/project.js:2605-2616|(82,11)-(82,22)	src/project.js:2602-2622|(82,11)-(82,31)	Rename Parameter newSettings to projectSpecification in Project.replace(projectSpecification) at src/project.js|Project.replace
atom	062dfdea80861f9c918c99a3f86895f908635862	RENAME_VARIABLE	projectSettings	projectSpecification	src/main-process/atom-application.js:8856-8871|(260,8)-(260,23)	src/main-process/atom-application.js:8861-8881|(260,8)-(260,28)	Rename Variable projectSettings to projectSpecification in AtomApplication.openWithOptions.1() at src/main-process/atom-application.js|AtomApplication.openWithOptions.1
atom	062dfdea80861f9c918c99a3f86895f908635862	RENAME_VARIABLE	projectSettings	projectSpecification	src/main-process/atom-application.js:7705-8056|(204,10)-(223,15)	src/main-process/atom-application.js:7705-8061|(204,10)-(223,15)	Rename Variable projectSettings to projectSpecification in AtomApplication.openWithOptions(options) at src/main-process/atom-application.js|AtomApplication.openWithOptions
atom	062dfdea80861f9c918c99a3f86895f908635862	RENAME_VARIABLE	projectSettings	projectSpecification	src/main-process/atom-application.js:31786-31801|(894,8)-(894,23)	src/main-process/atom-application.js:31811-31831|(894,8)-(894,28)	Rename Variable projectSettings to projectSpecification in AtomApplication.openPaths.3() at src/main-process/atom-application.js|AtomApplication.openPaths.3
atom	062dfdea80861f9c918c99a3f86895f908635862	RENAME_FUNCTION	resetUserScopedSettings	resetScopedSettings	src/config.js:38924-39656|(1228,2)-(1242,3)	src/config.js:38928-39656|(1231,2)-(1245,3)	Rename Method Config.resetUserScopedSettings(newScopedSettings ,options) renamed to Config.resetScopedSettings(newScopedSettings ,options) at src/config.js|Config.resetUserScopedSettings
atom	062dfdea80861f9c918c99a3f86895f908635862	EXTRACT_FUNCTION	resetUserSettings	_resetSettings	src/config.js:30005-31170|(950,2)-(988,3)	src/config.js:30106-30972|(954,2)-(981,3)	Extract Method Config._resetSettings(newSettings ,options) extracted from Config.resetUserSettings(newSettings ,options) in  Config in file src/config.js
atom	062dfdea80861f9c918c99a3f86895f908635862	RENAME_VARIABLE	projectSettings	projectSpecification	src/main-process/parse-command-line.js:6561-6576|(170,4)-(170,19)	src/main-process/parse-command-line.js:6705-6725|(170,4)-(170,24)	Rename Variable projectSettings to projectSpecification in parseCommandLine.2() at src/main-process/parse-command-line.js|parseCommandLine.2
atom	062dfdea80861f9c918c99a3f86895f908635862	RENAME_VARIABLE	atomProject	projectSpecificationFile	src/main-process/parse-command-line.js:4314-4343|(96,8)-(96,37)	src/main-process/parse-command-line.js:4324-4366|(96,8)-(96,50)	Rename Variable atomProject to projectSpecificationFile in parseCommandLine(processArgs) at src/main-process/parse-command-line.js|parseCommandLine
atom	062dfdea80861f9c918c99a3f86895f908635862	RENAME_VARIABLE	projectSettings	projectSpecification	src/main-process/parse-command-line.js:5568-5588|(141,6)-(141,26)	src/main-process/parse-command-line.js:5586-5611|(141,6)-(141,31)	Rename Variable projectSettings to projectSpecification in parseCommandLine(processArgs) at src/main-process/parse-command-line.js|parseCommandLine
atom	48d36776648149c4170fed630207ef9ec1cb962a	RENAME_FUNCTION	replaceAtomProject	replace	src/project.js:2628-2869|(83,2)-(88,3)	src/project.js:2628-3000|(83,2)-(94,3)	Rename Method Project.replaceAtomProject(newSettings) renamed to Project.replace(newSettings) at src/project.js|Project.replaceAtomProject
atom	48d36776648149c4170fed630207ef9ec1cb962a	RENAME_FUNCTION	onDidReplaceAtomProject	onDidReplace	src/project.js:2873-2974|(90,2)-(92,3)	src/project.js:3004-3081|(96,2)-(98,3)	Rename Method Project.onDidReplaceAtomProject(callback) renamed to Project.onDidReplace(callback) at src/project.js|Project.onDidReplaceAtomProject
atom	48d36776648149c4170fed630207ef9ec1cb962a	RENAME_FUNCTION	getAtomProjectFilePath	getProjectFilePath	src/project.js:3150-3213|(101,2)-(103,3)	src/project.js:3085-3144|(100,2)-(102,3)	Rename Method Project.getAtomProjectFilePath() renamed to Project.getProjectFilePath() at src/project.js|Project.getAtomProjectFilePath
atom	4dbfadd0d5a603fec292519c9115c857e26201eb	RENAME_FUNCTION	grammarMatchesContents	grammarMatchesPrefix	src/grammar-registry.js:8808-9656|(259,2)-(286,3)	src/grammar-registry.js:9028-9711|(269,2)-(292,3)	Rename Method GrammarRegistry.grammarMatchesContents(grammar ,contents) renamed to GrammarRegistry.grammarMatchesPrefix(grammar ,contents) at src/grammar-registry.js|GrammarRegistry.grammarMatchesContents
atom	50088b16c9a4e6fda78ea98430bb0705229883e8	RENAME_FUNCTION	isVerticalScrollbarVisible	canScrollVertically	src/text-editor-component.js:90087-90501|(2586,2)-(2595,3)	src/text-editor-component.js:90408-90815|(2597,2)-(2606,3)	Rename Method TextEditorComponent.isVerticalScrollbarVisible() renamed to TextEditorComponent.canScrollVertically() at src/text-editor-component.js|TextEditorComponent.isVerticalScrollbarVisible
atom	50088b16c9a4e6fda78ea98430bb0705229883e8	RENAME_FUNCTION	isHorizontalScrollbarVisible	canScrollHorizontally	src/text-editor-component.js:90505-90959|(2597,2)-(2607,3)	src/text-editor-component.js:90819-91266|(2608,2)-(2618,3)	Rename Method TextEditorComponent.isHorizontalScrollbarVisible() renamed to TextEditorComponent.canScrollHorizontally() at src/text-editor-component.js|TextEditorComponent.isHorizontalScrollbarVisible
atom	547b067f3e03f7d3e7eb162af8f257cfe6f05154	RENAME_FUNCTION	getProjectFilePath	getAtomProjectFilePath	src/project.js:3153-3212|(101,2)-(103,3)	src/project.js:3150-3213|(101,2)-(103,3)	Rename Method Project.getProjectFilePath() renamed to Project.getAtomProjectFilePath() at src/project.js|Project.getProjectFilePath
