project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	description
axios	0e2f4f14171ccd161e85478c7b1aba61c3b431a2	MOVE_FUNCTION	Axios	Axios	lib/axios.js:405-595|(12,0)-(18,1)	lib/core/Axios.js:478-668|(16,0)-(22,1)	Move Method    Axios(defaultConfig) from axios.js to Axios(defaultConfig) at Axios.js
axios	1629a026da17a1e1d8999a02f3fe6b6b60aaac9c	RENAME_FILE	wrapper.spec.js	headers.spec.js	test/specs/wrapper.spec.js:0-4771|(1,0)-(218,0)	test/specs/headers.spec.js:0-2220|(1,0)-(105,0)	Rename File test/specs/wrapper.spec.js renamed to test/specs/headers.spec.js
axios	203cbc2da0ef0f68d517ba2a6176df1d48efc2fb	MOVE_FILE	transformData.spec.js	transformData.spec.js	test/specs/helpers/transformData.spec.js:0-687|(1,0)-(31,0)	test/specs/core/transformData.spec.js:0-681|(1,0)-(31,0)	Move File test/specs/helpers/transformData.spec.js to test/specs/core/transformData.spec.js
axios	203cbc2da0ef0f68d517ba2a6176df1d48efc2fb	MOVE_FILE	settle.js	settle.js	lib/helpers/settle.js:0-568|(1,0)-(19,0)	lib/core/settle.js:0-568|(1,0)-(19,0)	Move File lib/helpers/settle.js to lib/core/settle.js
axios	203cbc2da0ef0f68d517ba2a6176df1d48efc2fb	MOVE_FILE	transformData.js	transformData.js	lib/helpers/transformData.js:0-550|(1,0)-(21,0)	lib/core/transformData.js:0-550|(1,0)-(21,0)	Move File lib/helpers/transformData.js to lib/core/transformData.js
axios	203cbc2da0ef0f68d517ba2a6176df1d48efc2fb	MOVE_FILE	settle.spec.js	settle.spec.js	test/specs/helpers/settle.spec.js:0-1905|(1,0)-(76,0)	test/specs/core/settle.spec.js:0-1899|(1,0)-(76,0)	Move File test/specs/helpers/settle.spec.js to test/specs/core/settle.spec.js
axios	3d65057d7111d7873cf4fad40805cd9ebe327574	RENAME_FILE	urlIsSameOrigin.spec.js	isURLSameOrigin.spec.js	test/specs/helpers/urlIsSameOrigin.spec.js:0-389|(1,0)-(12,0)	test/specs/helpers/isURLSameOrigin.spec.js:0-389|(1,0)-(12,0)	Rename File test/specs/helpers/urlIsSameOrigin.spec.js renamed to test/specs/helpers/isURLSameOrigin.spec.js
axios	3d65057d7111d7873cf4fad40805cd9ebe327574	RENAME_VARIABLE	buildUrl	buildURL	lib/adapters/http.js:95-138|(5,4)-(5,47)	lib/adapters/http.js:95-138|(5,4)-(5,47)	Rename Variable buildUrl to buildURL in http.js() at null
axios	3d65057d7111d7873cf4fad40805cd9ebe327574	RENAME_FUNCTION	buildUrl	buildURL	lib/helpers/buildUrl.js:538-1442|(23,17)-(67,1)	lib/helpers/buildUrl.js:538-1442|(23,17)-(67,1)	Rename Method buildUrl(url ,params ,paramsSerializer) renamed to buildURL(url ,params ,paramsSerializer) at lib/helpers/buildUrl.js|buildUrl
axios	3d65057d7111d7873cf4fad40805cd9ebe327574	RENAME_VARIABLE	buildUrl	buildURL	lib/adapters/xhr.js:126-169|(7,4)-(7,47)	lib/adapters/xhr.js:126-169|(7,4)-(7,47)	Rename Variable buildUrl to buildURL in xhr.js() at null
axios	3d65057d7111d7873cf4fad40805cd9ebe327574	RENAME_VARIABLE	urlIsSameOrigin	isURLSameOrigin	lib/adapters/xhr.js:2137-2194|(70,8)-(70,65)	lib/adapters/xhr.js:2137-2194|(70,8)-(70,65)	Rename Variable urlIsSameOrigin to isURLSameOrigin in xhrAdapter(resolve ,reject ,config) at lib/adapters/xhr.js|xhrAdapter
axios	72c66dfdecbcc165c52fcd19d1f8444ad8c011c6	RENAME_VARIABLE	mergeConfig	deepMerge	lib/utils.js:9039-9050|(340,15)-(340,26)	lib/utils.js:8204-8213|(327,13)-(327,22)	Rename Variable mergeConfig to deepMerge in 1() at lib/utils.js|1
axios	d23f9d5d4782e5849362895f8b648ed587999706	EXTRACT_FUNCTION	httpAdapter	settle	lib/adapters/http.js:435-4518|(14,17)-(151,1)	lib/adapters/http.js:440-576|(14,0)-(18,1)	Extract Method settle(resolve ,reject ,response) extracted from httpAdapter(resolve ,reject ,config) in  http.js in file lib/adapters/http.js
axios	d23f9d5d4782e5849362895f8b648ed587999706	RENAME_VARIABLE	d	responseData	lib/adapters/http.js:3415-3448|(107,10)-(107,43)	lib/adapters/http.js:3955-3999|(126,12)-(126,56)	Rename Variable d to responseData in httpAdapter.1.2() at lib/adapters/http.js|httpAdapter.1.2
axios	dcbb35226245483930a1f2969927a3b348bb2558	RENAME_FILE	__getAjaxRequest.js	__helpers.js	test/specs/__getAjaxRequest.js:0-661|(1,0)-(29,0)	test/specs/__helpers.js:0-2291|(1,0)-(89,0)	Rename File test/specs/__getAjaxRequest.js renamed to test/specs/__helpers.js
axios	df6d3ce6cf10432b7920d8c3ac0efb7254989bc4	RENAME_FUNCTION	testProxy	testHTTPProxy	test/unit/adapters/http.js:6983-8070|(251,2)-(287,3)	test/unit/adapters/http.js:6983-8074|(251,2)-(287,3)	Rename Method 1.testProxy(test) renamed to 1.testHTTPProxy(test) at test/unit/adapters/http.js|1.testProxy
axios	fc12b933f729f236b2149872c42961a8626dafb7	MOVE_FILE	http.js	http.js	test/unit/axios/http.js:0-1071|(1,0)-(44,0)	test/unit/adapters/http.js:0-1071|(1,0)-(44,0)	Move File test/unit/axios/http.js to test/unit/adapters/http.js
