project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	description
create-react-app	0e51eef6d7694fbfc4a8fe952bd73b65af2220dd	RENAME_FILE	registerServiceWorker.js	serviceWorker.js	packages/react-scripts/template/src/registerServiceWorker.js:0-4384|(1,0)-(118,0)	packages/react-scripts/template/src/serviceWorker.js:0-4376|(1,0)-(118,0)	Rename File packages/react-scripts/template/src/registerServiceWorker.js renamed to packages/react-scripts/template/src/serviceWorker.js
create-react-app	2c34d5b66eab7d1c96e573bc48b8e82b6d8e82b0	RENAME_FUNCTION	shouldUseYarn	isYarnAvailable	packages/create-react-app/createReactApp.js:6811-6958|(224,0)-(231,1)	packages/create-react-app/createReactApp.js:6891-7040|(224,0)-(231,1)	Rename Method shouldUseYarn() renamed to isYarnAvailable() at packages/create-react-app/createReactApp.js|shouldUseYarn
create-react-app	51d0df490295b70808b61d780a54ebcf296a8db2	RENAME_FILE	Overlay.js	ErrorOverlay.js	packages/react-error-overlay/src/components/Overlay.js:0-1773|(1,0)-(75,0)	packages/react-error-overlay/src/components/ErrorOverlay.js:0-1783|(1,0)-(75,0)	Rename File packages/react-error-overlay/src/components/Overlay.js renamed to packages/react-error-overlay/src/components/ErrorOverlay.js
create-react-app	51d0df490295b70808b61d780a54ebcf296a8db2	MOVE_RENAME_CLASS	Overlay	ErrorOverlay	packages/react-error-overlay/src/components/Overlay.js:826-1747|(34,0)-(72,1)	packages/react-error-overlay/src/components/ErrorOverlay.js:826-1752|(34,0)-(72,1)	Move And Rename Class packages/react-error-overlay/src/components/Overlay.js|Overlay moved and renamed to packages/react-error-overlay/src/components/ErrorOverlay.js|ErrorOverlay
create-react-app	72b6eb8c3c65e6ed0f2413708069287311a386c2	EXTRACT_FUNCTION	printHostingInstructions	printBaseMessage	packages/react-dev-utils/printHostingInstructions.js:335-4106|(15,0)-(134,1)	packages/react-dev-utils/printHostingInstructions.js:1141-1921|(44,0)-(71,1)	Extract Method printBaseMessage(buildFolder ,hostingLocation) extracted from printHostingInstructions(appPackage ,publicUrl ,publicPath ,buildFolder ,useYarn) in  printHostingInstructions.js in file packages/react-dev-utils/printHostingInstructions.js
create-react-app	72b6eb8c3c65e6ed0f2413708069287311a386c2	EXTRACT_FUNCTION	printHostingInstructions	printDeployInstructions	packages/react-dev-utils/printHostingInstructions.js:335-4106|(15,0)-(134,1)	packages/react-dev-utils/printHostingInstructions.js:1923-3029|(73,0)-(107,1)	Extract Method printDeployInstructions(publicUrl ,hasDeployScript ,useYarn) extracted from printHostingInstructions(appPackage ,publicUrl ,publicPath ,buildFolder ,useYarn) in  printHostingInstructions.js in file packages/react-dev-utils/printHostingInstructions.js
create-react-app	72b6eb8c3c65e6ed0f2413708069287311a386c2	EXTRACT_FUNCTION	printHostingInstructions	printStaticServerInstructions	packages/react-dev-utils/printHostingInstructions.js:335-4106|(15,0)-(134,1)	packages/react-dev-utils/printHostingInstructions.js:3031-3448|(109,0)-(121,1)	Extract Method printStaticServerInstructions(buildFolder ,useYarn) extracted from printHostingInstructions(appPackage ,publicUrl ,publicPath ,buildFolder ,useYarn) in  printHostingInstructions.js in file packages/react-dev-utils/printHostingInstructions.js
create-react-app	9559ba486e085b6956580ebbc6dad1d7ef4c26e2	RENAME_FUNCTION	fixDependencies	setCaretRangeForRuntimeDeps	packages/create-react-app/createReactApp.js:16351-17230|(536,0)-(560,1)	packages/create-react-app/createReactApp.js:16065-16778|(530,0)-(549,1)	Rename Method fixDependencies(packageName) renamed to setCaretRangeForRuntimeDeps(packageName) at packages/create-react-app/createReactApp.js|fixDependencies
create-react-app	b3527d7783b290d37275925a1d6a7ff9e40e7a86	RENAME_FUNCTION	gitInit	tryGitInit	packages/react-scripts/scripts/init.js:1120-1548|(43,0)-(61,1)	packages/react-scripts/scripts/init.js:1120-1551|(43,0)-(61,1)	Rename Method gitInit() renamed to tryGitInit() at packages/react-scripts/scripts/init.js|gitInit
create-react-app	cd3d04b71e91f533bdbdc3856775e1da81d445cf	INLINE_FUNCTION	render	updateIframeContent	packages/react-error-overlay/src/index.js:3777-4287|(128,0)-(145,1)	packages/react-error-overlay/src/index.js:3459-4009|(123,0)-(144,1)	Inline Method render() inlined to updateIframeContent() at packages/react-error-overlay/src/index.js|updateIframeContent
