project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	description
jquery	356a3bccb0e7468a2c8ce7d8c9c6cd0c5d436b8b	RENAME_FILE	promises_aplus_adapter.js	promises_aplus_adapter_when.js	test/promises_aplus_adapter.js:0-415|(1,0)-(23,0)	test/promises_aplus_adapter_when.js:0-1130|(1,0)-(52,0)	Rename File test/promises_aplus_adapter.js renamed to test/promises_aplus_adapter_when.js
jquery	4d6b4536b2e0148d4b228884a0b356e73dd8beec	MOVE_FILE	rcheckableType.js	rcheckableType.js	src/var/rcheckableType.js:0-79|(1,0)-(6,0)	src/manipulation/var/rcheckableType.js:0-79|(1,0)-(6,0)	Move File src/var/rcheckableType.js to src/manipulation/var/rcheckableType.js
jquery	6d43dc42337089f5fb52b715981c12993f490920	RENAME_FUNCTION	raf	schedule	src/effects.js:556-654|(30,0)-(35,1)	src/effects.js:559-810|(30,0)-(40,1)	Rename Method 1.raf() renamed to 1.schedule() at src/effects.js|1.raf
jquery	6d43dc42337089f5fb52b715981c12993f490920	RENAME_VARIABLE	timerId	inProgress	src/effects.js:485-492|(26,8)-(26,15)	src/effects.js:485-495|(26,8)-(26,18)	Rename Variable timerId to inProgress in 1(jQuery ,document ,rcssNum ,rnothtmlwhite ,cssExpand ,isHiddenWithinTree ,swap ,adjustCSS ,dataPriv ,showHide) at src/effects.js|1
jquery	9e121482a532d61aa36d7b314ee46dd1ac40f29e	ADD_PARAMETER		assert		test/unit/offset.js:1398-1404|(43,43)-(43,49)	Add Parameter assert in method 1.2.setup(assert) attest/unit/offset.js|1.2.setup
jquery	a4474c9a0025095f82d734a9d7230eace2f08ef8	MOVE_RENAME_FILE	promises_aplus_adapter_when.js	when.js	test/promises_aplus_adapter_when.js:0-1130|(1,0)-(52,0)	test/promises_aplus_adapters/when.js:0-1116|(1,0)-(50,0)	Move And Rename File test/promises_aplus_adapter_when.js moved and renamed to test/promises_aplus_adapters/when.js
jquery	a6fc0b16511c70472ebb3dd9469d08566969ac88	RENAME_FILE	isHidden.js	isHiddenWithinTree.js	src/css/var/isHidden.js:0-362|(1,0)-(17,0)	src/css/var/isHiddenWithinTree.js:0-488|(1,0)-(19,0)	Rename File src/css/var/isHidden.js renamed to src/css/var/isHiddenWithinTree.js
jquery	b442abacbb8464f0165059e8da734e3143d0721f	MOVE_FILE	rcheckableType.js	rcheckableType.js	src/manipulation/var/rcheckableType.js:0-79|(1,0)-(6,0)	src/var/rcheckableType.js:0-79|(1,0)-(6,0)	Move File src/manipulation/var/rcheckableType.js to src/var/rcheckableType.js
jquery	b5f7c9e2d526b17b9962976bb704dce8779d7362	INLINE_FUNCTION	register	cache	src/data/Data.js:213-707|(15,1)-(33,2)	src/data/Data.js:213-1026|(15,1)-(47,2)	Inline Method 1.1.register(owner) inlined to 1.1.cache(owner) at src/data/Data.js|1.1.cache
jquery	b930d14ce64937e9478405eee2828d4da091d2cb	ADD_PARAMETER		assert		test/unit/data.js:1728-1734|(65,26)-(65,32)	Add Parameter assert in method dataTests(elem ,assert) attest/unit/data.js|dataTests
jquery	b930d14ce64937e9478405eee2828d4da091d2cb	ADD_PARAMETER		assert		test/unit/data.js:7399-7405|(214,30)-(214,36)	Add Parameter assert in method testDataTypes($obj ,assert) attest/unit/data.js|testDataTypes
jquery	b930d14ce64937e9478405eee2828d4da091d2cb	ADD_PARAMETER		assert		test/unit/attributes.js:42460-42466|(930,34)-(930,40)	Add Parameter assert in method testVal(valueObj ,assert) attest/unit/attributes.js|testVal
jquery	b930d14ce64937e9478405eee2828d4da091d2cb	ADD_PARAMETER		assert		test/unit/attributes.js:47523-47529|(1059,39)-(1059,45)	Add Parameter assert in method testAddClass(valueObj ,assert) attest/unit/attributes.js|testAddClass
jquery	b930d14ce64937e9478405eee2828d4da091d2cb	ADD_PARAMETER		assert		test/unit/attributes.js:49901-49907|(1137,42)-(1137,48)	Add Parameter assert in method testRemoveClass(valueObj ,assert) attest/unit/attributes.js|testRemoveClass
jquery	b930d14ce64937e9478405eee2828d4da091d2cb	ADD_PARAMETER		assert		test/unit/attributes.js:52795-52801|(1223,42)-(1223,48)	Add Parameter assert in method testToggleClass(valueObj ,assert) attest/unit/attributes.js|testToggleClass
jquery	b930d14ce64937e9478405eee2828d4da091d2cb	ADD_PARAMETER		assert		test/unit/wrap.js:378-384|(22,25)-(22,31)	Add Parameter assert in method 1.testWrap(val ,assert) attest/unit/wrap.js|1.testWrap
jquery	b930d14ce64937e9478405eee2828d4da091d2cb	ADD_PARAMETER		assert		test/unit/ajax.js:708-714|(20,37)-(20,43)	Add Parameter assert in method 1.addGlobalEvents(expected ,assert) attest/unit/ajax.js|1.addGlobalEvents
jquery	b930d14ce64937e9478405eee2828d4da091d2cb	ADD_PARAMETER		assert		test/unit/manipulation.js:1932-1938|(64,29)-(64,35)	Add Parameter assert in method testText(valueObj ,assert) attest/unit/manipulation.js|testText
jquery	b930d14ce64937e9478405eee2828d4da091d2cb	ADD_PARAMETER		assert		test/unit/manipulation.js:3896-3902|(120,52)-(120,58)	Add Parameter assert in method testAppendForObject(valueObj ,isFragment ,assert) attest/unit/manipulation.js|testAppendForObject
jquery	b930d14ce64937e9478405eee2828d4da091d2cb	ADD_PARAMETER		assert		test/unit/manipulation.js:6219-6225|(194,31)-(194,37)	Add Parameter assert in method testAppend(valueObj ,assert) attest/unit/manipulation.js|testAppend
jquery	b930d14ce64937e9478405eee2828d4da091d2cb	ADD_PARAMETER		assert		test/unit/manipulation.js:41725-41731|(1147,31)-(1147,37)	Add Parameter assert in method testReplaceWith(val ,assert) attest/unit/manipulation.js|testReplaceWith
jquery	b930d14ce64937e9478405eee2828d4da091d2cb	ADD_PARAMETER		assert		test/unit/manipulation.js:61131-61137|(1614,29)-(1614,35)	Add Parameter assert in method testHtml(valueObj ,assert) attest/unit/manipulation.js|testHtml
jquery	b930d14ce64937e9478405eee2828d4da091d2cb	ADD_PARAMETER		assert		test/unit/dimensions.js:522-528|(31,25)-(31,31)	Add Parameter assert in method 1.testWidth(val ,assert) attest/unit/dimensions.js|1.testWidth
jquery	b930d14ce64937e9478405eee2828d4da091d2cb	ADD_PARAMETER		assert		test/unit/dimensions.js:2421-2427|(83,26)-(83,32)	Add Parameter assert in method 1.testHeight(val ,assert) attest/unit/dimensions.js|1.testHeight
jquery	b97c8d30c5aedace75dc17056d429f28e41b20c1	ADD_PARAMETER		negative		external/qunit/qunit.js:25453-25461|(1051,52)-(1051,60)	Add Parameter negative in method 1.3.push(result ,actual ,expected ,message ,negative) atexternal/qunit/qunit.js|1.3.push
jquery	b97c8d30c5aedace75dc17056d429f28e41b20c1	RENAME_PARAMETER	window	global	external/qunit/qunit.js:209-215|(12,11)-(12,17)	external/qunit/qunit.js:209-215|(12,11)-(12,17)	Rename Parameter window to global in 1(global) at external/qunit/qunit.js|1
jquery	b97c8d30c5aedace75dc17056d429f28e41b20c1	RENAME_VARIABLE	onErrorFnPrev	clearTimeout	external/qunit/qunit.js:242-255|(16,1)-(16,14)	external/qunit/qunit.js:371-405|(22,4)-(22,38)	Rename Variable onErrorFnPrev to clearTimeout in 1(global) at external/qunit/qunit.js|1
jquery	bf48c21d225c31f0f9b5441d95f73615ca3dcfdb	RENAME_FUNCTION	isArraylike	isArrayLike	src/core.js:10539-11025|(444,0)-(459,1)	src/core.js:10513-11008|(442,0)-(457,1)	Rename Method 1.isArraylike(obj) renamed to 1.isArrayLike(obj) at src/core.js|1.isArraylike
jquery	ecd8ddea33dc40ae2a57e4340be03faf2ba2f99b	RENAME_VARIABLE	data/name.html	name.html	test/unit/ajax.js:39643-39647|(1401,22)-(1401,26)	test/unit/ajax.js:40087-40091|(1398,17)-(1398,21)	Rename Variable data/name.html to name.html in 1.59.1() at test/unit/ajax.js|1.59.1
jquery	ecd8ddea33dc40ae2a57e4340be03faf2ba2f99b	RENAME_VARIABLE	data/someFileThatDoesNotExist.html	404.txt	test/unit/ajax.js:39691-39696|(1402,42)-(1402,47)	test/unit/ajax.js:40108-40113|(1399,15)-(1399,20)	Rename Variable data/someFileThatDoesNotExist.html to 404.txt in 1.59.1() at test/unit/ajax.js|1.59.1
jquery	ecd8ddea33dc40ae2a57e4340be03faf2ba2f99b	RENAME_VARIABLE	content-type	contentType	test/unit/ajax.js:55356-55423|(1956,20)-(1956,87)	test/unit/ajax.js:55978-56045|(1952,17)-(1952,84)	Rename Variable content-type to contentType in 1.83.1.1() at test/unit/ajax.js|1.83.1.1
jquery	ecd8ddea33dc40ae2a57e4340be03faf2ba2f99b	RENAME_VARIABLE	content-type	contentType	test/unit/ajax.js:55356-55423|(1956,20)-(1956,87)	test/unit/ajax.js:56419-56486|(1969,17)-(1969,84)	Rename Variable content-type to contentType in 1.84.1.1() at test/unit/ajax.js|1.84.1.1
jquery	ecd8ddea33dc40ae2a57e4340be03faf2ba2f99b	RENAME_FUNCTION	testInModuleChain	moduleChainNameMatch	external/qunit/qunit.js:27468-27784|(1142,2)-(1151,3)	external/qunit/qunit.js:25899-26221|(1084,2)-(1093,3)	Rename Method 1.3.valid.testInModuleChain(testModule) renamed to 1.3.valid.moduleChainNameMatch(testModule) at external/qunit/qunit.js|1.3.valid.testInModuleChain
jquery	ecd8ddea33dc40ae2a57e4340be03faf2ba2f99b	ADD_PARAMETER		resultInfo		external/qunit/qunit.js:33719-33729|(1428,23)-(1428,33)	Add Parameter resultInfo in method 1.5.pushResult(resultInfo) atexternal/qunit/qunit.js|1.5.pushResult
jquery	ecd8ddea33dc40ae2a57e4340be03faf2ba2f99b	RENAME_FUNCTION	push	pushResult	external/qunit/qunit.js:33799-34827|(1433,1)-(1457,2)	external/qunit/qunit.js:33697-34763|(1428,1)-(1455,2)	Rename Method 1.5.push() renamed to 1.5.pushResult(resultInfo) at external/qunit/qunit.js|1.5.push
jquery	ecd8ddea33dc40ae2a57e4340be03faf2ba2f99b	ADD_PARAMETER		force		external/qunit/qunit.js:58766-58771|(2472,34)-(2472,39)	Add Parameter force in method 3.toggleClass(elem ,name ,force) atexternal/qunit/qunit.js|3.toggleClass
