project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	description
material-ui	1b66305162e232e8f7ce7a91f31274647a1dd4bb	MOVE_RENAME_FILE	list.js	premium-themes.js	pages/premium-themes/list.js:0-678|(1,0)-(25,0)	pages/premium-themes.js:0-678|(1,0)-(25,0)	Move And Rename File pages/premium-themes/list.js moved and renamed to pages/premium-themes.js
material-ui	1dac1e16bfbcc3913e1fea36de0b1d1e8a2b0478	RENAME_FUNCTION	componentWillReceiveProps	componentDidMount	src/Drawer/Drawer.js:2277-2363|(95,2)-(99,3)	src/Drawer/Drawer.js:2392-2531|(99,2)-(104,3)	Rename Method Drawer.componentWillReceiveProps() renamed to Drawer.componentDidMount() at src/Drawer/Drawer.js|Drawer.componentWillReceiveProps
material-ui	2d5cf8c2380a42a2b2aa2e33ea2d6f4c6140ee8c	RENAME_VARIABLE	dirty	filled	src/Form/FormControl.js:2133-2138|(82,8)-(82,13)	src/Form/FormControl.js:2172-2178|(84,8)-(84,14)	Rename Variable dirty to filled in FormControl.getChildContext.1.1() at src/Form/FormControl.js|FormControl.getChildContext.1.1
material-ui	2d5cf8c2380a42a2b2aa2e33ea2d6f4c6140ee8c	RENAME_VARIABLE	onDirty	onFilled	src/Form/FormControl.js:2241-2257|(88,17)-(88,33)	src/Form/FormControl.js:2299-2315|(89,18)-(89,34)	Rename Variable onDirty to onFilled in FormControl.getChildContext.1.1() at src/Form/FormControl.js|FormControl.getChildContext.1.1
material-ui	2d5cf8c2380a42a2b2aa2e33ea2d6f4c6140ee8c	RENAME_VARIABLE	onClean	onEmpty	src/Form/FormControl.js:2276-2292|(89,17)-(89,33)	src/Form/FormControl.js:2263-2279|(88,17)-(88,33)	Rename Variable onClean to onEmpty in FormControl.getChildContext.1.1() at src/Form/FormControl.js|FormControl.getChildContext.1.1
material-ui	2d5cf8c2380a42a2b2aa2e33ea2d6f4c6140ee8c	RENAME_VARIABLE	onClean	onFilled	src/Input/Input.js:15416-15430|(566,11)-(566,25)	src/Input/Input.js:15479-15493|(570,12)-(570,26)	Rename Variable onClean to onFilled in 1() at src/Input/Input.js|1
material-ui	2d5cf8c2380a42a2b2aa2e33ea2d6f4c6140ee8c	RENAME_VARIABLE	onDirty	onEmpty	src/Input/Input.js:15465-15479|(570,11)-(570,25)	src/Input/Input.js:15426-15440|(566,11)-(566,25)	Rename Variable onDirty to onEmpty in 1() at src/Input/Input.js|1
material-ui	397540b2acb289a55e4557c8852935eead88b995	RENAME_FUNCTION	getVersions	getBranches	docs/src/pages/versions/StableVersions.js:773-1206|(29,0)-(44,1)	docs/src/pages/versions/StableVersions.js:773-1172|(29,0)-(42,1)	Rename Method getVersions() renamed to getBranches() at docs/src/pages/versions/StableVersions.js|getVersions
material-ui	3e4854b39b17511d9b312071ca93061eeb503f5d	MOVE_FILE	brown.js	brown.js	src/colors/brown.js:0-297|(1,0)-(19,0)	packages/material-ui/src/colors/brown.js:0-297|(1,0)-(19,0)	Move File src/colors/brown.js to packages/material-ui/src/colors/brown.js
material-ui	3e4854b39b17511d9b312071ca93061eeb503f5d	MOVE_FILE	index.js	index.js	src/Modal/index.js:0-143|(1,0)-(4,0)	packages/material-ui/src/Modal/index.js:0-143|(1,0)-(4,0)	Move File src/Modal/index.js to packages/material-ui/src/Modal/index.js
material-ui	3e4854b39b17511d9b312071ca93061eeb503f5d	MOVE_FILE	withTheme.js	withTheme.js	src/styles/withTheme.js:0-1616|(1,0)-(68,0)	packages/material-ui/src/styles/withTheme.js:0-1616|(1,0)-(68,0)	Move File src/styles/withTheme.js to packages/material-ui/src/styles/withTheme.js
material-ui	3e4854b39b17511d9b312071ca93061eeb503f5d	MOVE_FILE	TableHead.test.js	TableHead.test.js	src/Table/TableHead.test.js:0-1212|(1,0)-(39,0)	packages/material-ui/src/Table/TableHead.test.js:0-1212|(1,0)-(39,0)	Move File src/Table/TableHead.test.js to packages/material-ui/src/Table/TableHead.test.js
material-ui	3e4854b39b17511d9b312071ca93061eeb503f5d	MOVE_FILE	GridListTile.js	GridListTile.js	src/GridList/GridListTile.js:0-3670|(1,0)-(151,0)	packages/material-ui/src/GridList/GridListTile.js:0-3670|(1,0)-(151,0)	Move File src/GridList/GridListTile.js to packages/material-ui/src/GridList/GridListTile.js
material-ui	3e4854b39b17511d9b312071ca93061eeb503f5d	MOVE_FILE	FormGroup.js	FormGroup.js	src/Form/FormGroup.js:0-1267|(1,0)-(65,0)	packages/material-ui/src/Form/FormGroup.js:0-1267|(1,0)-(65,0)	Move File src/Form/FormGroup.js to packages/material-ui/src/Form/FormGroup.js
material-ui	3e4854b39b17511d9b312071ca93061eeb503f5d	MOVE_FILE	Card.js	Card.js	src/Card/Card.js:0-855|(1,0)-(43,0)	packages/material-ui/src/Card/Card.js:0-855|(1,0)-(43,0)	Move File src/Card/Card.js to packages/material-ui/src/Card/Card.js
material-ui	3e4854b39b17511d9b312071ca93061eeb503f5d	MOVE_FILE	index.js	index.js	src/Tooltip/index.js:0-37|(1,0)-(2,0)	packages/material-ui/src/Tooltip/index.js:0-37|(1,0)-(2,0)	Move File src/Tooltip/index.js to packages/material-ui/src/Tooltip/index.js
material-ui	3e4854b39b17511d9b312071ca93061eeb503f5d	MOVE_FILE	createTypography.test.js	createTypography.test.js	src/styles/createTypography.test.js:0-1568|(1,0)-(49,0)	packages/material-ui/src/styles/createTypography.test.js:0-1568|(1,0)-(49,0)	Move File src/styles/createTypography.test.js to packages/material-ui/src/styles/createTypography.test.js
material-ui	3e4854b39b17511d9b312071ca93061eeb503f5d	MOVE_FILE	Fade.test.js	Fade.test.js	src/transitions/Fade.test.js:0-2799|(1,0)-(107,0)	packages/material-ui/src/transitions/Fade.test.js:0-2799|(1,0)-(107,0)	Move File src/transitions/Fade.test.js to packages/material-ui/src/transitions/Fade.test.js
