project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	description
meteor	06f9f78277f8cf0ebe217eccd5e54e163fbc8fdf	ADD_PARAMETER		usePrefix		tools/isobuild/bundler.js:24468-24484|(697,29)-(697,45)	Add Parameter usePrefix in method File.setUrlFromRelPath(relPath ,usePrefix) attools/isobuild/bundler.js|File.setUrlFromRelPath
meteor	25bddd9a23dda6b309804e052232b09637250f42	RENAME_FILE	html5-tokenizer.js	html5_tokenizer.js	packages/html5-tokenizer/html5-tokenizer.js:0-802|(1,0)-(30,0)	packages/html5-tokenizer/html5_tokenizer.js:0-802|(1,0)-(30,0)	Rename File packages/html5-tokenizer/html5-tokenizer.js renamed to packages/html5-tokenizer/html5_tokenizer.js
meteor	39d8aef3d96c3f744e926f87ee05d67a8e2f58d5	MOVE_FILE	run-log.js	run-log.js	tools/run-log.js:0-6893|(1,0)-(223,0)	tools/runners/run-log.js:0-6903|(1,0)-(223,0)	Move File tools/run-log.js to tools/runners/run-log.js
meteor	39d8aef3d96c3f744e926f87ee05d67a8e2f58d5	MOVE_FILE	archinfo.js	archinfo.js	tools/archinfo.js:0-10351|(1,0)-(249,0)	tools/utils/archinfo.js:0-10345|(1,0)-(249,0)	Move File tools/archinfo.js to tools/utils/archinfo.js
meteor	39d8aef3d96c3f744e926f87ee05d67a8e2f58d5	MOVE_FILE	progress.js	progress.js	tools/progress.js:0-5815|(1,0)-(232,0)	tools/console/progress.js:0-5815|(1,0)-(232,0)	Move File tools/progress.js to tools/console/progress.js
meteor	39d8aef3d96c3f744e926f87ee05d67a8e2f58d5	MOVE_FILE	test-utils.js	test-utils.js	tools/test-utils.js:0-5889|(1,0)-(197,0)	tools/tool-testing/test-utils.js:0-5893|(1,0)-(197,0)	Move File tools/test-utils.js to tools/tool-testing/test-utils.js
meteor	39d8aef3d96c3f744e926f87ee05d67a8e2f58d5	MOVE_FILE	console.js	console.js	tools/console.js:0-40275|(1,0)-(1308,0)	tools/console/console.js:0-40284|(1,0)-(1308,0)	Move File tools/console.js to tools/console/console.js
meteor	39d8aef3d96c3f744e926f87ee05d67a8e2f58d5	MOVE_FILE	selftest.js	selftest.js	tools/selftest.js:0-61622|(1,0)-(1941,0)	tools/tool-testing/selftest.js:0-61658|(1,0)-(1941,0)	Move File tools/selftest.js to tools/tool-testing/selftest.js
meteor	39d8aef3d96c3f744e926f87ee05d67a8e2f58d5	MOVE_FILE	buildmessage.js	buildmessage.js	tools/buildmessage.js:0-18953|(1,0)-(624,0)	tools/utils/buildmessage.js:0-18951|(1,0)-(624,0)	Move File tools/buildmessage.js to tools/utils/buildmessage.js
meteor	3a17a032c74ad252cef75cddd1155ec8e84a40af	RENAME_FILE	runtime.js	legacy.js	packages/ecmascript-runtime-client/runtime.js:0-1744|(1,0)-(58,0)	packages/ecmascript-runtime-client/legacy.js:0-1769|(1,0)-(60,0)	Rename File packages/ecmascript-runtime-client/runtime.js renamed to packages/ecmascript-runtime-client/legacy.js
meteor	48947a46bf7204367dcd3294c93d55e2f36e01eb	RENAME_FILE	test_events.js	simulate_event.js	packages/test-helpers/test_events.js:0-378|(1,0)-(15,0)	packages/test-helpers/simulate_event.js:0-378|(1,0)-(15,0)	Rename File packages/test-helpers/test_events.js renamed to packages/test-helpers/simulate_event.js
meteor	4ad860ca47071c167281888e984f15ba987355bd	MOVE_AND_RENAME_FILE	client.js	shell-client.js	tools/shell/client.js:0-4051|(1,0)-(172,0)	tools/shell-client.js:0-4064|(1,0)-(172,0)	Move And Rename File tools/shell/client.js moved and renamed to tools/shell-client.js
meteor	4ad860ca47071c167281888e984f15ba987355bd	MOVE_AND_RENAME_FILE	server.js	shell-server.js	tools/shell/server.js:0-8008|(1,0)-(292,0)	tools/server/shell-server.js:0-8008|(1,0)-(292,0)	Move And Rename File tools/shell/server.js moved and renamed to tools/server/shell-server.js
meteor	4e074be6a877abbab70d92a0e0920a0118a00212	RENAME_FUNCTION	isArraylike	isArrayLike	packages/jquery/jquery.js:13621-13955|(571,0)-(585,1)	packages/jquery/jquery.js:13538-14033|(563,0)-(578,1)	Rename Method 2.isArraylike(obj) renamed to 2.isArrayLike(obj) at packages/jquery/jquery.js|2.isArraylike
meteor	4e074be6a877abbab70d92a0e0920a0118a00212	REMOVE_PARAMETER	style		packages/jquery/jquery.js:178975-178980|(6466,25)-(6466,30)		Remove Parameter style in method 2.vendorPropName(style ,name) from packages/jquery/jquery.js|2.vendorPropName
