project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	description
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	REMOVE_PARAMETER	memoizeState		Libraries/Renderer/oss/ReactNativeRenderer-prod.js:65633-65645|(1925,2)-(1925,14)		Remove Parameter memoizeState in method ReactFiberClassComponent(legacyContext ,scheduleWork ,computeExpirationForFiber ,memoizeProps ,memoizeState) from Libraries/Renderer/oss/ReactNativeRenderer-prod.js|ReactFiberClassComponent
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	REMOVE_PARAMETER	memoizeProps		Libraries/Renderer/oss/ReactNativeRenderer-prod.js:65617-65629|(1924,2)-(1924,14)		Remove Parameter memoizeProps in method ReactFiberClassComponent(legacyContext ,scheduleWork ,computeExpirationForFiber ,memoizeProps ,memoizeState) from Libraries/Renderer/oss/ReactNativeRenderer-prod.js|ReactFiberClassComponent
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	ADD_PARAMETER		markLegacyErrorBoundaryAsFailed		Libraries/Renderer/oss/ReactNativeRenderer-prod.js:154009-154040|(4409,2)-(4409,33)	Add Parameter markLegacyErrorBoundaryAsFailed in method ReactFiberUnwindWork(hostContext ,legacyContext ,newContext ,scheduleWork ,markLegacyErrorBoundaryAsFailed ,isAlreadyFailedLegacyErrorBoundary ,onUncaughtError) atLibraries/Renderer/oss/ReactNativeRenderer-prod.js|ReactFiberUnwindWork
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	ADD_PARAMETER		onUncaughtError		Libraries/Renderer/oss/ReactNativeRenderer-prod.js:154082-154097|(4411,2)-(4411,17)	Add Parameter onUncaughtError in method ReactFiberUnwindWork(hostContext ,legacyContext ,newContext ,scheduleWork ,markLegacyErrorBoundaryAsFailed ,isAlreadyFailedLegacyErrorBoundary ,onUncaughtError) atLibraries/Renderer/oss/ReactNativeRenderer-prod.js|ReactFiberUnwindWork
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	REMOVE_PARAMETER	markLegacyErrorBoundaryAsFailed		Libraries/Renderer/oss/ReactNativeRenderer-prod.js:141165-141196|(4045,2)-(4045,33)		Remove Parameter markLegacyErrorBoundaryAsFailed in method ReactFiberCommitWork(config ,captureError ,scheduleWork ,computeExpirationForFiber ,markLegacyErrorBoundaryAsFailed) from Libraries/Renderer/oss/ReactNativeRenderer-prod.js|ReactFiberCommitWork
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	REMOVE_PARAMETER	computeExpirationForFiber		Libraries/Renderer/oss/ReactNativeRenderer-prod.js:141136-141161|(4044,2)-(4044,27)		Remove Parameter computeExpirationForFiber in method ReactFiberCommitWork(config ,captureError ,scheduleWork ,computeExpirationForFiber ,markLegacyErrorBoundaryAsFailed) from Libraries/Renderer/oss/ReactNativeRenderer-prod.js|ReactFiberCommitWork
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	REMOVE_PARAMETER	scheduleWork		Libraries/Renderer/oss/ReactNativeRenderer-prod.js:141120-141132|(4043,2)-(4043,14)		Remove Parameter scheduleWork in method ReactFiberCommitWork(config ,captureError ,scheduleWork ,computeExpirationForFiber ,markLegacyErrorBoundaryAsFailed) from Libraries/Renderer/oss/ReactNativeRenderer-prod.js|ReactFiberCommitWork
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	EXTRACT_FUNCTION	ReactFiberClassComponent	applyDerivedStateFromProps	Libraries/Renderer/oss/ReactNativeRenderer-prod.js:65518-80453|(1920,0)-(2313,1)	Libraries/Renderer/oss/ReactNativeRenderer-prod.js:69397-70002|(2019,0)-(2035,1)	Extract Method applyDerivedStateFromProps(workInProgress ,getDerivedStateFromProps ,nextProps) extracted from ReactFiberClassComponent(legacyContext ,scheduleWork ,computeExpirationForFiber ,memoizeProps ,memoizeState) in  ReactNativeRenderer-prod.js in file Libraries/Renderer/oss/ReactNativeRenderer-prod.js
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	PARAMETERIZE_VARIABLE	derivedStateFromProps	workInProgress	Libraries/Renderer/oss/ReactNativeRenderer-prod.js:73405-73435|(2130,10)-(2130,40)	Libraries/Renderer/oss/ReactNativeRenderer-prod.js:69436-69450|(2020,2)-(2020,16)	Parameterize Variable derivedStateFromProps to workInProgress in applyDerivedStateFromProps(workInProgress ,getDerivedStateFromProps ,nextProps) at Libraries/Renderer/oss/ReactNativeRenderer-prod.js|applyDerivedStateFromProps
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	REMOVE_PARAMETER	didCaptureError		Libraries/Renderer/oss/ReactNativeRenderer-prod.js:104486-104501|(3041,4)-(3041,19)		Remove Parameter didCaptureError in method ReactFiberBeginWork.finishClassComponent(current ,workInProgress ,shouldUpdate ,hasContext ,didCaptureError ,renderExpirationTime) from Libraries/Renderer/oss/ReactNativeRenderer-prod.js|ReactFiberBeginWork.finishClassComponent
