project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	description
react	036ae3c6e2f056adffc31dfb78d1b6f0c63272f0	RENAME_VARIABLE	instance	node	packages/react-dom/src/__tests__/ReactDOM-test.js:1259-1312|(48,10)-(48,63)	packages/react-dom/src/__tests__/ReactDOM-test.js:1259-1308|(48,10)-(48,59)	Rename Variable instance to node in 1.1() at packages/react-dom/src/__tests__/ReactDOM-test.js|1.1
react	0887c7d56cb9b83f36dcb490b4245d7bc33bda1f	MOVE_FILE	ReactFeatureFlags.js	ReactFeatureFlags.js	scripts/rollup/shims/react-native/ReactFeatureFlags.js:0-435|(1,0)-(19,0)	scripts/rollup/shims/react-native-fb/ReactFeatureFlags.js:0-435|(1,0)-(19,0)	Move File scripts/rollup/shims/react-native/ReactFeatureFlags.js to scripts/rollup/shims/react-native-fb/ReactFeatureFlags.js
react	0887c7d56cb9b83f36dcb490b4245d7bc33bda1f	RENAME_FILE	ReactFeatureFlags.native.js	ReactFeatureFlags.native-fb.js	packages/shared/forks/ReactFeatureFlags.native.js:0-1374|(1,0)-(41,0)	packages/shared/forks/ReactFeatureFlags.native-fb.js:0-1377|(1,0)-(41,0)	Rename File packages/shared/forks/ReactFeatureFlags.native.js renamed to packages/shared/forks/ReactFeatureFlags.native-fb.js
react	0887c7d56cb9b83f36dcb490b4245d7bc33bda1f	RENAME_FILE	ReactFeatureFlags.native-fabric.js	ReactFeatureFlags.native-fabric-fb.js	packages/shared/forks/ReactFeatureFlags.native-fabric.js:0-1353|(1,0)-(38,0)	packages/shared/forks/ReactFeatureFlags.native-fabric-fb.js:0-1356|(1,0)-(38,0)	Rename File packages/shared/forks/ReactFeatureFlags.native-fabric.js renamed to packages/shared/forks/ReactFeatureFlags.native-fabric-fb.js
react	0887c7d56cb9b83f36dcb490b4245d7bc33bda1f	RENAME_VARIABLE	RN_DEV	RN_OSS_DEV	scripts/rollup/forks.js:224-251|(9,6)-(9,33)	scripts/rollup/forks.js:240-275|(9,6)-(9,41)	Rename Variable RN_DEV to RN_OSS_DEV in forks.js() at null
react	0887c7d56cb9b83f36dcb490b4245d7bc33bda1f	RENAME_VARIABLE	RN_PROD	RN_OSS_PROD	scripts/rollup/forks.js:259-288|(10,6)-(10,35)	scripts/rollup/forks.js:283-320|(10,6)-(10,43)	Rename Variable RN_PROD to RN_OSS_PROD in forks.js() at null
react	0887c7d56cb9b83f36dcb490b4245d7bc33bda1f	RENAME_VARIABLE	RN_DEV	RN_FB_DEV	scripts/rollup/bundles.js:455-482|(20,6)-(20,33)	scripts/rollup/bundles.js:645-678|(24,6)-(24,39)	Rename Variable RN_DEV to RN_FB_DEV in bundles.js() at null
react	0887c7d56cb9b83f36dcb490b4245d7bc33bda1f	RENAME_VARIABLE	RN_PROD	RN_FB_PROD	scripts/rollup/bundles.js:490-519|(21,6)-(21,35)	scripts/rollup/bundles.js:686-721|(25,6)-(25,41)	Rename Variable RN_PROD to RN_FB_PROD in bundles.js() at null
react	0887c7d56cb9b83f36dcb490b4245d7bc33bda1f	RENAME_VARIABLE	FB_DEV	FB_WWW_DEV	scripts/rollup/bundles.js:383-410|(18,6)-(18,33)	scripts/rollup/bundles.js:469-504|(20,6)-(20,41)	Rename Variable FB_DEV to FB_WWW_DEV in bundles.js() at null
react	0887c7d56cb9b83f36dcb490b4245d7bc33bda1f	RENAME_VARIABLE	FB_PROD	FB_WWW_PROD	scripts/rollup/bundles.js:418-447|(19,6)-(19,35)	scripts/rollup/bundles.js:512-549|(21,6)-(21,43)	Rename Variable FB_PROD to FB_WWW_PROD in bundles.js() at null
react	0887c7d56cb9b83f36dcb490b4245d7bc33bda1f	RENAME_VARIABLE	RELATIVE_RN_PATH	RELATIVE_RN_OSS_PATH	scripts/rollup/sync.js:239-308|(9,6)-(9,75)	scripts/rollup/sync.js:239-312|(9,6)-(9,79)	Rename Variable RELATIVE_RN_PATH to RELATIVE_RN_OSS_PATH in sync.js() at null
react	08ff3d749d353a5ef5daf9fea78c456c5ebd048e	MOVE_FILE	ReactElement-test.js	ReactElement-test.js	packages/react/src/classic/element/__tests__/ReactElement-test.js:0-15129|(1,0)-(467,0)	packages/react/src/element/__tests__/ReactElement-test.js:0-15129|(1,0)-(467,0)	Move File packages/react/src/classic/element/__tests__/ReactElement-test.js to packages/react/src/element/__tests__/ReactElement-test.js
react	08ff3d749d353a5ef5daf9fea78c456c5ebd048e	MOVE_FILE	ReactElementValidator.js	ReactElementValidator.js	packages/react/src/classic/element/ReactElementValidator.js:0-10127|(1,0)-(327,0)	packages/react/src/element/ReactElementValidator.js:0-10127|(1,0)-(327,0)	Move File packages/react/src/classic/element/ReactElementValidator.js to packages/react/src/element/ReactElementValidator.js
react	08ff3d749d353a5ef5daf9fea78c456c5ebd048e	MOVE_FILE	ReactElementValidator-test.js	ReactElementValidator-test.js	packages/react/src/classic/element/__tests__/ReactElementValidator-test.js:0-16900|(1,0)-(524,0)	packages/react/src/element/__tests__/ReactElementValidator-test.js:0-16900|(1,0)-(524,0)	Move File packages/react/src/classic/element/__tests__/ReactElementValidator-test.js to packages/react/src/element/__tests__/ReactElementValidator-test.js
react	08ff3d749d353a5ef5daf9fea78c456c5ebd048e	MOVE_FILE	ReactJSXElementValidator-test.js	ReactJSXElementValidator-test.js	packages/react/src/modern/element/__tests__/ReactJSXElementValidator-test.js:0-13016|(1,0)-(399,0)	packages/react/src/element/__tests__/ReactJSXElementValidator-test.js:0-13016|(1,0)-(399,0)	Move File packages/react/src/modern/element/__tests__/ReactJSXElementValidator-test.js to packages/react/src/element/__tests__/ReactJSXElementValidator-test.js
react	08ff3d749d353a5ef5daf9fea78c456c5ebd048e	MOVE_FILE	ReactES6Class-test.js	ReactES6Class-test.js	packages/react/src/modern/class/__tests__/ReactES6Class-test.js:0-13060|(1,0)-(451,0)	packages/react/src/class/__tests__/ReactES6Class-test.js:0-13060|(1,0)-(451,0)	Move File packages/react/src/modern/class/__tests__/ReactES6Class-test.js to packages/react/src/class/__tests__/ReactES6Class-test.js
react	08ff3d749d353a5ef5daf9fea78c456c5ebd048e	MOVE_FILE	createReactClassIntegration-test.js	createReactClassIntegration-test.js	packages/react/src/classic/__tests__/createReactClassIntegration-test.js:0-12819|(1,0)-(450,0)	packages/react/src/__tests__/createReactClassIntegration-test.js:0-12819|(1,0)-(450,0)	Move File packages/react/src/classic/__tests__/createReactClassIntegration-test.js to packages/react/src/__tests__/createReactClassIntegration-test.js
