project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	description
reveal.js	25c46ccc37f932c04d5c2af7de1d12c6cdaed055	EXTRACT_FUNCTION	getProgress	getSlidePastCount	js/reveal.js:84693-86310|(2972,1)-(3030,2)	js/reveal.js:84697-85644|(2973,1)-(3011,2)	Extract Method 2.getSlidePastCount() extracted from 2.getProgress() in  2 in file js/reveal.js
reveal.js	50f9896362e373375d05eb3278ccab983849d3d9	RENAME_FUNCTION	f	l	plugin/highlight/highlight.js:3668-5529|(30,2715)-(30,4576)	plugin/highlight/highlight.js:3676-5553|(30,2721)-(30,4598)	Rename Method 3.f(e ,t ,a ,i) renamed to 3.l(e ,t ,a ,i) at plugin/highlight/highlight.js|3.f
reveal.js	50f9896362e373375d05eb3278ccab983849d3d9	RENAME_FUNCTION	l	f	plugin/highlight/highlight.js:5529-5741|(30,4576)-(30,4788)	plugin/highlight/highlight.js:5553-5765|(30,4598)-(30,4810)	Rename Method 3.l(e ,t) renamed to 3.f(e ,t) at plugin/highlight/highlight.js|3.l
reveal.js	50f9896362e373375d05eb3278ccab983849d3d9	RENAME_FUNCTION	E	w	plugin/highlight/highlight.js:6943-6978|(30,5990)-(30,6025)	plugin/highlight/highlight.js:6967-7026|(30,6012)-(30,6071)	Rename Method 3.E(e) renamed to 3.w(e) at plugin/highlight/highlight.js|3.E
reveal.js	50f9896362e373375d05eb3278ccab983849d3d9	RENAME_VARIABLE	l	f	plugin/highlight/highlight.js:2344-2348|(30,1391)-(30,1395)	plugin/highlight/highlight.js:2352-2356|(30,1397)-(30,1401)	Rename Variable l to f in 3.c(e ,r ,a) at plugin/highlight/highlight.js|3.c
reveal.js	50f9896362e373375d05eb3278ccab983849d3d9	RENAME_VARIABLE	f	l	plugin/highlight/highlight.js:2339-2343|(30,1386)-(30,1390)	plugin/highlight/highlight.js:2347-2351|(30,1392)-(30,1396)	Rename Variable f to l in 3.c(e ,r ,a) at plugin/highlight/highlight.js|3.c
reveal.js	91c6db71ca4de1878f1132f135a46d729e1b6960	RENAME_VARIABLE	operator	_	plugin/highlight/highlight.js:34060-34095|(30,33105)-(30,33140)	plugin/highlight/highlight.js:352783-352818|(31,82840)-(31,82875)	Rename Variable operator to _ in 91.1.1() at plugin/highlight/highlight.js|91.1.1
reveal.js	91c6db71ca4de1878f1132f135a46d729e1b6960	RENAME_VARIABLE	special_functions	built_in	plugin/highlight/highlight.js:93654-93677|(30,92699)-(30,92722)	plugin/highlight/highlight.js:353036-353059|(31,83093)-(31,83116)	Rename Variable special_functions to built_in in 92.1.1() at plugin/highlight/highlight.js|92.1.1
reveal.js	91c6db71ca4de1878f1132f135a46d729e1b6960	RENAME_VARIABLE	reserved	keyword	plugin/highlight/highlight.js:93687-93828|(30,92732)-(30,92873)	plugin/highlight/highlight.js:353068-353209|(31,83125)-(31,83266)	Rename Variable reserved to keyword in 92.1.1() at plugin/highlight/highlight.js|92.1.1
reveal.js	91c6db71ca4de1878f1132f135a46d729e1b6960	RENAME_VARIABLE	r	a	plugin/highlight/highlight.js:94278-94312|(30,93323)-(30,93357)	plugin/highlight/highlight.js:419848-419882|(31,149905)-(31,149939)	Rename Variable r to a in 135(e) at plugin/highlight/highlight.js|135
reveal.js	91c6db71ca4de1878f1132f135a46d729e1b6960	RENAME_VARIABLE	built_in	builtin-name	plugin/highlight/highlight.js:131377-133986|(30,130422)-(30,133031)	plugin/highlight/highlight.js:329277-331886|(31,59334)-(31,61943)	Rename Variable built_in to builtin-name in 86.1() at plugin/highlight/highlight.js|86.1
reveal.js	91c6db71ca4de1878f1132f135a46d729e1b6960	RENAME_VARIABLE	preprocessor	meta	plugin/highlight/highlight.js:273213-273329|(31,48318)-(31,48434)	plugin/highlight/highlight.js:11315-11431|(29,10362)-(29,10478)	Rename Variable preprocessor to meta in 5.1.1() at plugin/highlight/highlight.js|5.1.1
reveal.js	91c6db71ca4de1878f1132f135a46d729e1b6960	RENAME_VARIABLE	built_in	literal	plugin/highlight/highlight.js:371372-371516|(32,15894)-(32,16038)	plugin/highlight/highlight.js:172242-172386|(30,19338)-(30,19482)	Rename Variable built_in to literal in 39.1.1() at plugin/highlight/highlight.js|39.1.1
reveal.js	91c6db71ca4de1878f1132f135a46d729e1b6960	RENAME_VARIABLE	constant	literal	plugin/highlight/highlight.js:432251-432258|(32,76773)-(32,76780)	plugin/highlight/highlight.js:411693-411700|(31,141750)-(31,141757)	Rename Variable constant to literal in 129.1() at plugin/highlight/highlight.js|129.1
reveal.js	91c6db71ca4de1878f1132f135a46d729e1b6960	RENAME_VARIABLE	typename	type	plugin/highlight/highlight.js:433002-433142|(32,77524)-(32,77664)	plugin/highlight/highlight.js:412440-412580|(31,142497)-(31,142637)	Rename Variable typename to type in 129.1() at plugin/highlight/highlight.js|129.1
reveal.js	a03e8036289a49f0b4e0b43b1d8547f9ee439d42	ADD_PARAMETER		options		js/reveal.js:91591-91598|(3169,28)-(3169,35)	Add Parameter options in method 2.loadSlide(slide ,options) atjs/reveal.js|2.loadSlide
reveal.js	a03e8036289a49f0b4e0b43b1d8547f9ee439d42	RENAME_FUNCTION	showSlide	loadSlide	js/reveal.js:91784-95265|(3176,1)-(3282,2)	js/reveal.js:91564-95117|(3169,1)-(3277,2)	Rename Method 2.showSlide(slide) renamed to 2.loadSlide(slide ,options) at js/reveal.js|2.showSlide
reveal.js	a03e8036289a49f0b4e0b43b1d8547f9ee439d42	RENAME_FUNCTION	hideSlide	unloadSlide	js/reveal.js:95399-96307|(3290,1)-(3314,2)	js/reveal.js:95288-96198|(3285,1)-(3309,2)	Rename Method 2.hideSlide(slide) renamed to 2.unloadSlide(slide) at js/reveal.js|2.hideSlide
reveal.js	af270a909cdbf0de6edd25dfac4aeae0a58e8ab7	RENAME_PARAMETER	element	el	js/reveal.js:84298-84305|(2955,78)-(2955,85)	js/reveal.js:85549-85551|(2988,78)-(2988,80)	Rename Parameter element to el in 2.stopEmbeddedContent.5(el) at js/reveal.js|2.stopEmbeddedContent.5
reveal.js	bede9a22e86bb1c8debb945ccdfb22265393297d	EXTRACT_FUNCTION	onDocumentKeyPress	toggleHelp	js/reveal.js:116159-116388|(4112,1)-(4124,2)	js/reveal.js:48038-48142|(1634,1)-(1641,2)	Extract Method 2.toggleHelp() extracted from 2.onDocumentKeyPress(event) in  2 in file js/reveal.js
reveal.js	e29c706533c227682cfde1ac0b187e90738b9bbc	EXTRACT_FUNCTION	activateOverview	layoutOverview	js/reveal.js:46980-49451|(1643,1)-(1731,2)	js/reveal.js:48435-49474|(1702,1)-(1735,2)	Extract Method 2.layoutOverview() extracted from 2.activateOverview() in  2 in file js/reveal.js
reveal.js	e3a3d3aa0aa1806e20bffb0ff4c307ec6cc89964	EXTRACT_FUNCTION	toggleSearch	closeSearch	plugin/search/search.js:3557-3780|(119,1)-(128,2)	plugin/search/search.js:3612-3776|(120,1)-(124,2)	Extract Method 1.closeSearch() extracted from 1.toggleSearch() in  1 in file plugin/search/search.js
reveal.js	e3a3d3aa0aa1806e20bffb0ff4c307ec6cc89964	RENAME_VARIABLE	inputbox	inputboxdiv	plugin/search/search.js:3589-3638|(120,6)-(120,55)	plugin/search/search.js:3643-3698|(121,6)-(121,61)	Rename Variable inputbox to inputboxdiv in 1.closeSearch() at plugin/search/search.js|1.closeSearch
