project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	description
vue	015a31890250e93564959de97372be7bd6195f62	RENAME_VARIABLE	renderFns	options	dist/vue.esm.js:93047-93088|(3782,6)-(3782,47)	dist/vue.esm.js:93588-93611|(3803,6)-(3803,29)	Rename Variable renderFns to options in renderStatic(index ,isInFor) at dist/vue.esm.js|renderStatic
vue	015a31890250e93564959de97372be7bd6195f62	RENAME_VARIABLE	renderFns	options	dist/vue.runtime.esm.js:92908-92949|(3778,6)-(3778,47)	dist/vue.runtime.esm.js:93449-93472|(3799,6)-(3799,29)	Rename Variable renderFns to options in renderStatic(index ,isInFor) at dist/vue.runtime.esm.js|renderStatic
vue	015a31890250e93564959de97372be7bd6195f62	RENAME_FUNCTION	model$1	model$2	packages/vue-server-renderer/basic.js:181282-182794|(4215,0)-(4264,1)	packages/vue-server-renderer/basic.js:183581-185093|(4286,0)-(4335,1)	Rename Method 2.model$1(el ,dir ,_warn) renamed to 2.model$2(el ,dir ,_warn) at packages/vue-server-renderer/basic.js|2.model$1
vue	015a31890250e93564959de97372be7bd6195f62	RENAME_VARIABLE	model	model$1	packages/vue-server-renderer/build.js:98907-98955|(3935,4)-(3937,1)	packages/vue-server-renderer/build.js:101202-101252|(4006,4)-(4008,1)	Rename Variable model to model$1 in build.js() at null
vue	015a31890250e93564959de97372be7bd6195f62	RENAME_FUNCTION	model$1	model$2	packages/vue-server-renderer/build.js:99170-100768|(3954,0)-(4003,1)	packages/vue-server-renderer/build.js:101469-103067|(4025,0)-(4074,1)	Rename Method model$1(el ,dir ,_warn) renamed to model$2(el ,dir ,_warn) at packages/vue-server-renderer/build.js|model$1
vue	015a31890250e93564959de97372be7bd6195f62	RENAME_VARIABLE	renderFns	options	packages/vue-server-renderer/build.js:175461-175502|(6870,6)-(6870,47)	packages/vue-server-renderer/build.js:178798-178821|(6972,6)-(6972,29)	Rename Variable renderFns to options in renderStatic(index ,isInFor) at packages/vue-server-renderer/build.js|renderStatic
vue	015a31890250e93564959de97372be7bd6195f62	RENAME_VARIABLE	renderFns	options	dist/vue.common.js:93062-93103|(3784,6)-(3784,47)	dist/vue.common.js:93603-93626|(3805,6)-(3805,29)	Rename Variable renderFns to options in renderStatic(index ,isInFor) at dist/vue.common.js|renderStatic
vue	0c11aa8addf5ad852e37da358ce2887af72e4193	ADD_PARAMETER		options		src/platforms/weex/compiler/modules/recycle-list/index.js:767-791|(27,40)-(27,64)	Add Parameter options in method transformNode(el ,options) atsrc/platforms/weex/compiler/modules/recycle-list/index.js|transformNode
vue	0c11aa8addf5ad852e37da358ce2887af72e4193	ADD_PARAMETER		options		src/platforms/weex/compiler/modules/recycle-list/index.js:904-928|(33,44)-(33,68)	Add Parameter options in method postTransformNode(el ,options) atsrc/platforms/weex/compiler/modules/recycle-list/index.js|postTransformNode
vue	0c11aa8addf5ad852e37da358ce2887af72e4193	EXTRACT_FUNCTION	preTransformNode	shouldCompile	src/platforms/weex/compiler/modules/recycle-list/index.js:246-541|(11,0)-(21,1)	src/platforms/weex/compiler/modules/recycle-list/index.js:259-413|(11,0)-(14,1)	Extract Method shouldCompile(el ,options) extracted from preTransformNode(el ,options) in  index.js in file src/platforms/weex/compiler/modules/recycle-list/index.js
vue	0c11aa8addf5ad852e37da358ce2887af72e4193	EXTRACT_FUNCTION	transformNode	shouldCompile	src/platforms/weex/compiler/modules/recycle-list/index.js:543-630|(23,0)-(27,1)	src/platforms/weex/compiler/modules/recycle-list/index.js:259-413|(11,0)-(14,1)	Extract Method shouldCompile(el ,options) extracted from transformNode(el) in  index.js in file src/platforms/weex/compiler/modules/recycle-list/index.js
vue	0c11aa8addf5ad852e37da358ce2887af72e4193	EXTRACT_FUNCTION	postTransformNode	shouldCompile	src/platforms/weex/compiler/modules/recycle-list/index.js:632-919|(29,0)-(40,1)	src/platforms/weex/compiler/modules/recycle-list/index.js:259-413|(11,0)-(14,1)	Extract Method shouldCompile(el ,options) extracted from postTransformNode(el) in  index.js in file src/platforms/weex/compiler/modules/recycle-list/index.js
vue	0c11aa8addf5ad852e37da358ce2887af72e4193	RENAME_VARIABLE	wrapperArgs	args	src/compiler/codegen/events.js:1559-1637|(51,8)-(51,86)	src/compiler/codegen/events.js:1734-1870|(54,8)-(58,4)	Rename Variable wrapperArgs to args in genWeexHandler(params ,handlerCode) at src/compiler/codegen/events.js|genWeexHandler
vue	144a4dd860b20ca48263bac150286f627e08d953	MOVE_FILE	build.js	build.js	build/build.js:0-2193|(1,0)-(98,0)	scripts/build.js:0-2193|(1,0)-(98,0)	Move File build/build.js to scripts/build.js
vue	144a4dd860b20ca48263bac150286f627e08d953	MOVE_FILE	alias.js	alias.js	build/alias.js:0-441|(1,0)-(16,0)	scripts/alias.js:0-441|(1,0)-(16,0)	Move File build/alias.js to scripts/alias.js
vue	144a4dd860b20ca48263bac150286f627e08d953	MOVE_FILE	get-weex-version.js	get-weex-version.js	build/get-weex-version.js:0-664|(1,0)-(25,0)	scripts/get-weex-version.js:0-664|(1,0)-(25,0)	Move File build/get-weex-version.js to scripts/get-weex-version.js
vue	144a4dd860b20ca48263bac150286f627e08d953	MOVE_FILE	config.js	config.js	build/config.js:0-6426|(1,0)-(214,0)	scripts/config.js:0-6426|(1,0)-(214,0)	Move File build/config.js to scripts/config.js
vue	144a4dd860b20ca48263bac150286f627e08d953	MOVE_FILE	gen-release-note.js	gen-release-note.js	build/gen-release-note.js:0-434|(1,0)-(17,0)	scripts/gen-release-note.js:0-434|(1,0)-(17,0)	Move File build/gen-release-note.js to scripts/gen-release-note.js
vue	144a4dd860b20ca48263bac150286f627e08d953	MOVE_FILE	setup.js	setup.js	build/setup.js:0-363|(1,0)-(13,0)	scripts/setup.js:0-363|(1,0)-(13,0)	Move File build/setup.js to scripts/setup.js
vue	2b3e1a0a964c21d405f67479a9960c2d00f235b4	RENAME_FUNCTION	defineReactive$$1	defineReactive	packages/weex-vue-framework/factory.js:21669-23012|(944,0)-(998,1)	packages/weex-vue-framework/factory.js:24257-25603|(1066,0)-(1120,1)	Rename Method 1.defineReactive$$1(obj ,key ,val ,customSetter ,shallow) renamed to 1.defineReactive(obj ,key ,val ,customSetter ,shallow) at packages/weex-vue-framework/factory.js|1.defineReactive$$1
vue	2b3e1a0a964c21d405f67479a9960c2d00f235b4	ADD_PARAMETER		vm		packages/weex-vue-framework/factory.js:32864-32866|(1438,34)-(1438,36)	Add Parameter vm in method 1.normalizeProps(options ,vm) atpackages/weex-vue-framework/factory.js|1.normalizeProps
vue	2b3e1a0a964c21d405f67479a9960c2d00f235b4	ADD_PARAMETER		force		packages/weex-vue-framework/factory.js:105891-105896|(4268,29)-(4268,34)	Add Parameter force in method 1.applyNS(vnode ,ns ,force) atpackages/weex-vue-framework/factory.js|1.applyNS
vue	2b3e1a0a964c21d405f67479a9960c2d00f235b4	ADD_PARAMETER		eventKeyName		packages/weex-vue-framework/factory.js:90008-90020|(3667,2)-(3667,14)	Add Parameter eventKeyName in method 1.checkKeyCodes(eventKeyCode ,key ,builtInAlias ,eventKeyName) atpackages/weex-vue-framework/factory.js|1.checkKeyCodes
vue	2b3e1a0a964c21d405f67479a9960c2d00f235b4	EXTRACT_FUNCTION	handleError	logError	packages/weex-vue-framework/factory.js:11486-11896|(552,0)-(566,1)	packages/weex-vue-framework/factory.js:12383-12677|(587,0)-(597,1)	Extract Method 1.logError(err ,vm ,info) extracted from 1.handleError(err ,vm ,info) in  1 in file packages/weex-vue-framework/factory.js
vue	2b3e1a0a964c21d405f67479a9960c2d00f235b4	EXTRACT_FUNCTION	handleError	globalHandleError	packages/weex-vue-framework/factory.js:11486-11896|(552,0)-(566,1)	packages/weex-vue-framework/factory.js:12134-12381|(576,0)-(585,1)	Extract Method 1.globalHandleError(err ,vm ,info) extracted from 1.handleError(err ,vm ,info) in  1 in file packages/weex-vue-framework/factory.js
