project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	description
webpack	17eb5b47009b925901f6489df77ba1092d5d254b	RENAME_FUNCTION	getChildrenByPriorities	getChildrenByOrders	lib/ChunkGroup.js:6747-7674|(328,1)-(358,2)	lib/ChunkGroup.js:6744-7652|(328,1)-(358,2)	Rename Method ChunkGroup.getChildrenByPriorities() renamed to ChunkGroup.getChildrenByOrders() at lib/ChunkGroup.js|ChunkGroup.getChildrenByPriorities
webpack	17eb5b47009b925901f6489df77ba1092d5d254b	RENAME_VARIABLE	priority	order	lib/ChunkGroup.js:7236-7259|(339,17)-(339,40)	lib/ChunkGroup.js:7220-7243|(339,14)-(339,37)	Rename Variable priority to order in ChunkGroup.getChildrenByOrders.1() at lib/ChunkGroup.js|ChunkGroup.getChildrenByOrders.1
webpack	17eb5b47009b925901f6489df77ba1092d5d254b	RENAME_FUNCTION	getChildIdsByPriorities	getChildIdsByOrders	lib/Chunk.js:8609-9812|(364,1)-(403,2)	lib/Chunk.js:8609-9793|(364,1)-(403,2)	Rename Method Chunk.getChildIdsByPriorities() renamed to Chunk.getChildIdsByOrders() at lib/Chunk.js|Chunk.getChildIdsByPriorities
webpack	17eb5b47009b925901f6489df77ba1092d5d254b	RENAME_FUNCTION	getChildIdsByPrioritiesMap	getChildIdsByOrdersMap	lib/Chunk.js:9815-10217|(405,1)-(418,2)	lib/Chunk.js:9796-10190|(405,1)-(418,2)	Rename Method Chunk.getChildIdsByPrioritiesMap() renamed to Chunk.getChildIdsByOrdersMap() at lib/Chunk.js|Chunk.getChildIdsByPrioritiesMap
webpack	17eb5b47009b925901f6489df77ba1092d5d254b	RENAME_VARIABLE	priority	order	lib/Chunk.js:9228-9251|(377,19)-(377,42)	lib/Chunk.js:9215-9238|(377,16)-(377,39)	Rename Variable priority to order in Chunk.getChildIdsByOrders.1() at lib/Chunk.js|Chunk.getChildIdsByOrders.1
webpack	4b1a76bdb00ebf89b977c2cc1199870d0c180c72	RENAME_FUNCTION	getCommentOptionsStrict	parseCommentOptions	lib/Parser.js:60254-60871|(1997,1)-(2016,2)	lib/Parser.js:60245-60858|(1997,1)-(2016,2)	Rename Method Parser.getCommentOptionsStrict(range) renamed to Parser.parseCommentOptions(range) at lib/Parser.js|Parser.getCommentOptionsStrict
webpack	53103a9690d653daf1de405756f5638999c36f22	REMOVE_PARAMETER	dependencies		lib/ModuleNotFoundError.js:239-251|(10,26)-(10,38)		Remove Parameter dependencies in method ModuleNotFoundError.constructor(module ,err ,dependencies) from lib/ModuleNotFoundError.js|ModuleNotFoundError.constructor
webpack	53103a9690d653daf1de405756f5638999c36f22	ADD_PARAMETER		loc		lib/UnsupportedFeatureWarning.js:249-252|(10,30)-(10,33)	Add Parameter loc in method UnsupportedFeatureWarning.constructor(module ,message ,loc) atlib/UnsupportedFeatureWarning.js|UnsupportedFeatureWarning.constructor
webpack	756f2ca1779fd9836412041cbc9baa7912d490ae	MOVE_FILE	a.js	a.js	test/configCases/plugins/dll-plugin/a.js:0-22|(1,0)-(2,0)	test/configCases/plugins/lib-manifest-plugin/a.js:0-22|(1,0)-(2,0)	Move File test/configCases/plugins/dll-plugin/a.js to test/configCases/plugins/lib-manifest-plugin/a.js
webpack	82a71be1dcb14e057637ef6d558ee7a53516717b	MOVE_FILE	WebAssemblyModulesPlugin.js	WebAssemblyModulesPlugin.js	lib/WebAssemblyModulesPlugin.js:0-2084|(1,0)-(76,0)	lib/wasm/WebAssemblyModulesPlugin.js:0-2317|(1,0)-(81,0)	Move File lib/WebAssemblyModulesPlugin.js to lib/wasm/WebAssemblyModulesPlugin.js
webpack	82a71be1dcb14e057637ef6d558ee7a53516717b	MOVE_FILE	WebAssemblyGenerator.js	WebAssemblyGenerator.js	lib/WebAssemblyGenerator.js:0-4722|(1,0)-(212,0)	lib/wasm/WebAssemblyGenerator.js:0-5202|(1,0)-(222,0)	Move File lib/WebAssemblyGenerator.js to lib/wasm/WebAssemblyGenerator.js
